taxon	phylum	subphylum	class	subclass	order	family	genus	species
DIACYCLOPS THOMASI	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Diacyclops	thomasi
DIAPHANOSOMA BIRGEI	Arthropoda	Crustacea	Branchiopoda		Cladocera	Sididae	Diaphanosoma	birgei
DIAPTOMID	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Diaptomus	
EPISCHURA LACUSTRIS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Temoridae	Epischura	lacustris
EUCHLANIS	Rotifera		Monogononta		Ploima	Brachionidae	Euchlanis	
EUCHLANIS PELLUCIDA	Rotifera		Monogononta		Ploima	Brachionidae	Euchlanis	pellucida
EUCYCLOPS ELEGANS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Eucyclops	elegans
FILINIA TERMINALIS	Rotifera		Monogononta		Flosculariaceae	Testudinellidae	Filinia	terminalis
GASTROPUS	Rotifera		Monogononta		Ploima	Gastropidae	Gastropus	
GASTROPUS HYPTOPUS	Rotifera		Monogononta		Ploima	Gastropidae	Gastropus	hyptopus
GASTROPUS STYLIFER	Rotifera		Monogononta		Ploima	Gastropidae	Gastropus	stylifer
HARPACTICOID	Arthropoda	Crustacea	Maxillopoda	Copepoda	Harpacticoida			
HEXARTHRA	Rotifera		Monogonata		Flosculariaceae	Hexarthridae	Hexarthra	
HOLOPEDIUM GIBBERUM	Arthropoda	Crusacea	Branchiopoda		Cladocera	Holopedidae	Holopedium	gibberum
KELLICOTTIA BOSTONIENSIS	Rotifera		Monogononta		Ploima	Brachionidae	Kellicottia	bostoniensis
KELLICOTTIA LONGISPINA	Rotifera		Monogononta		Ploima	Brachionidae	Kellicottia	longispina
KERATELLA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	
KERATELLA COCHLEARIS	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	cochlearis
KERATELLA CRASSA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	crassa
KERATELLA EARLINAE	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	earlinae
KERATELLA HIEMALIS	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	hiemalis
KERATELLA QUADRATA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	quadrata
KERATELLA SERRULATA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	serrulata
KERATELLA TAUROCEPHALA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	taurocephala
LECANE	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	
LECANE INERMIS	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	inermis
LECANE TENUISETA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	tenuiseta
LEPADELLA	Rotifera		Monogononta		Ploima	Brachionidae	Lepadella	
LEPADELLA PATELLA	Rotifera		Monogononta		Ploima	Brachionidae	Lepadella	patella
LEPTODIAPTOMUS MINUTUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Leptodiaptomus	minutus
MESOCYCLOPS EDAX	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Mesocyclops	edax
MONOSTYLA	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	
MONOSTYLA LUNARIS	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	lunaris
MONOSTYLA OBTUSA	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	obtusa
NOTHOLCA ACUMINATA	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	acuminata
NOTHOLCA FOLIACEA	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	foliacea
NOTHOLCA MICHIGANENSIS	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	michiganensis
NOTHOLCA SQUAMULA	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	squamula
PLOESOMA	Rotifera		Monogononta		Ploima	Synchaetidae	Ploesoma	
PLOESOMA HUDSONI	Rotifera		Monogononta		Ploima	Synchaetidae	Ploesoma	hudsoni
PLOESOMA LENTICULARE	Rotifera		Monogononta		Ploima	Synchaetidae	Ploesoma	lenticulare
POLYARTHRA	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	
POLYARTHRA DOLICHOPTERA	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	dolichoptera
POLYARTHRA MAJOR	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	major
POLYARTHRA REMATA	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	remata
POLYARTHRA VULGARIS	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	vulgaris
POMPHOLYX	Rotifera		Monogononta		Flosculariaceae	Testudinellidae	Pompholyx	
SKISTODIAPTOMUS OREGONENSIS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Skistodiaptomus	oregonensis
SYNCHAETA	Rotifera		Monogononta		Ploima	Synchaetidae	Synchaeta	
TRICHOCERCA	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	
TRICHOCERCA BIROSTRIS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	birostris
TRICHOCERCA CYLINDRICA	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	cylindrica
TRICHOCERCA MULTICRINIS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	multicrinis
TRICHOCERCA PORCELLUS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	porcellus
TRICHOCERCA PUSILLA	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	pusilla
TRICHOCERCA ROUSSELETI	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	rousseleti
TRICHOCERCA SIMILIS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	similis
TRICHOTRIA	Rotifera		Monogononta		Ploima	Brachionidae	Trichotria	
TROPOCYCLOPS PRASINUS MEXICANUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Tropocyclops	prasinus
UNKNOWN ROTIFER	Rotifera							
ANURAEOPSIS	Rotifera		Monogononta		Ploima	Brachionidae	Anuraeopsis	
CEPHALODELLA	Rotifera		Monogononta		Ploima	Notommatidae	Cephalodella	
CHAOBORUS	Arthropoda	Hexapoda	Insecta		Diptera	Chaoboridae	Chaoborus	
CLADOCERAN	Arthropoda	Crustacea	Branchiopoda		Cladocera			
CONOCHILUS UNICORNIS	Rotifera		Monogononta		Flosculariaceae	Conochilidae	Conochilus	unicornis
DAPHNIA LONGIREMIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	Longiremis
DIAPHANOSOMA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Sididae	Diaphanosoma	
EUCYCLOPS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Eucyclops	
FILINIA	Rotifera		Monogononta		Flosculariaceae	Filinidae	Filinia	
HOLOPEDIUM	Arthropoda	Crusacea	Branchiopoda		Cladocera	Holopedidae	Holopedium	
KERATELLA COCHLEARIS F. TECTA	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	cochlearis
KERATELLA TESTUDO	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	testudo
LECANE LEONTINA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	leontina
MANFREDIUM EUDACTYLOTUM	Rotifera		Monogononta		Ploima	Brachionidae	Manfredium	eudactylotum
NOTHOLCA	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	
NOTHOLCA LABIS	Rotifera		Monogononta		Ploima	Brachionidae	Notholca	labis
ORTHOCYCLOPS MODESTUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Orthocyclops	modestus
PLOESOMA TRUNCATUM	Rotifera		Monogononta		Ploima	Synchaetidae	Ploesoma	truncatum
SKISTODIAPTOMUS PALLIDUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Skistodiaptomus	pallidus
UNKNOWN								
ACROPERUS HARPAE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Acroperus	harpae
ALONA KARUA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Alona	karua
BRACHIONUS QUADRIDENTATUS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	quadridentatus
COLURELLA	Rotifera		Monogononta		Ploima	Lepadellidae	Colurella	
ENCENTRUM	Rotifera		Monogononta		Ploima	Dicranophoridae	Encentrum	
ERGASILUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Poecilostomatoida	Ergasilidae	Ergasilus	
ILYOCRYPTUS SPINIFER	Arthropoda	Crustacea	Branchiopoda		Cladocera	Ilyocryptidae	Ilyocryptus	spinifer
KELLICOTTIA	Rotifera		Monogononta		Ploima	Brachionidae	Kellicottia	
KERATELLA TICINENSIS	Rotifera		Monogononta		Ploima	Brachionidae	Keratella	
LECANE MIRA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	mira
MANFREDIUM	Rotifera		Monogononta		Ploima	Brachionidae	Manfredium	
MONOMMATA	Rotifera		Monogononta		Ploima	Notommatidae	Monommata	
MONOSTYLA BULLA	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	bulla
MYTILINA	Rotifera		Monogononta		Ploima	Mytilinidae	Mytilina	
NOTOMMATA	Rotifera		Monogononta		Ploima	Notommatidae	Notommata	
OPHRYOXUS GRACILIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Macrothricidae	Ophryoxus	gracilis
PARACYCLOPS FIMBRIATUS POPPEI	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Paracyclops	fimbriatus
POLYARTHRA EURYPTERA	Rotifera		Monogononta		Ploima	Synchaetidae	Polyarthra	euryptera
SCAPHOLEBERIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Scapholeberis	mucronata
TRICHOCERCA CAPUCINA	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	capucina
TRICHOTRIA TETRACTIS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	tetractis
TROCHOSPHAERA SOLSTITIALIS	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	solstitialis
BRACHIONUS ANGULARIS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	angularis
DIACYCLOPS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Diacyclops	
EUCYCLOPS AGILIS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Eucyclops	agilis
LECANE TUDICOLA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	tudicola
LEPTODIAPTOMUS SICILIS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Leptodiaptomus	scilis
MONOSTYLA STENROOSI	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	stenroosi
POLYPHEMUS PEDICULUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Polyphemidae	Polyphemus	pediculus
SKISTODIAPTOMUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Skistodiaptomus	
TESTUDINELLA REFLEXA	Rotifera		Monogonata		Flosculariaceae	Testudinellidae	Testudinella	reflexa
TRICHOCERCA LONGISETA	Rotifera		Monogononta		Ploima	Trichocercidae	Trichocerca	longiseta
UNIDENTIFIED								
UNKNOWN EGG-SHAPED ROTIFER	Rotifera							
CONOCHILUS HIPPOCREPIS	Rotifera		Monogononta		Flosculariaceae	Conochilidae	Conochilus	hippocrepis
LEPADELLA ACUMINATA	Rotifera		Monogononta		Ploima	Brachionidae	Lepadella	acuminata
LEPADELLA TRIPTERA	Rotifera		Monogononta		Ploima	Brachionidae	Lepadella	triptera
LECANE CLARA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	clara
LEPTODORA KINDTI	Arthropoda	Crustacea	Branchiopoda		Cladocera	Leptodoridae	Leptodora	kindti
POLYPHEMUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Polyphemidae	Polyphemus	
AGLAODIAPTOMUS CLAVIPES	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Aglaodiaptomus	clavipes
ASPLANCHNA HERRICKII	Rotifera		Monogononta		Ploimida	Asplanchnidae	Asplanchna	herrickii
ASPLANCHNA PRIODONTA	Rotifera		Monogononta		Ploimida	Asplanchnidae	Asplanchna	priodonta
BOSMINA LONGIROSTRIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Bosminidae	Bosmina	longirostris
BRACHIONUS CALYCIFLORUS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	calyciflorus
BRACHIONUS URCEOLARIS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	urceolaris
CALANOIDA COPEPODITES	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida			
CHYDORUS SPHAERICUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Chydorus	sphaericus
CONOCHILOIDES NATANS	Rotifera		Monogononta		Flosculariaceae	Conochilidae	Conochilus	natans
CYCLOPOIDA COPEPODITES	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida			
DAPHNIA MENDOTAE JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	mendotae
DAPHNIA PULICARIA JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	pulicaria
DAPHNIA RETROCURVA JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	retrocurva
DIAPHANOSOMA BIRGEI JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	birgei
EUBOSMINA COREGONI	Arthropoda	Crustacea	Branchiopoda		Cladocera	Bosminidae	Eubosmina	coregoni
LEPTODIAPTOMUS SICILOIDES	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Diaptomidae	Leptodiaptomus	siciloides
LEYDIGIA QUADRANGULARIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Leydigia	quadrangularis
POMPHYLOX SULCATA	Rotifera		Monogononta		Flosculariaceae	Testudinellidae	Pompholyx	sulcata
ASPLANCHNA BRIGHTWELLI	Rotifera		Monogononta		Ploimida	Asplanchnidae	Asplanchna	brightwelli
BRACHIONUS CAUDATUS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	caudatus
BRACHIONUS HAVANAENSIS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	havanaensis
DAPHNIA JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	
DAPHNIA PARVULA JUVENILE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	parvula
MONOSTYLA QUADRIDENTATA	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	quadrientata
ACANTHOCYCLOPS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Acanthocyclops	
BYTHOTREPHES LONGIMANUSξ	Arthropoda	Crustacea	Branchiopoda		Cladocera	Cercopagididae	Bythotrephes	longimanus
COPEPODITES	Arthropoda	Crustacea	Maxillopoda	Copepoda				
SINOBOSMINA FRYEI	Arthropoda	Crustacea	Branchiopoda		Cladocera	Bosminidae	Sinobosmina	fryei
LECANE LUNA	Rotifera		Monogononta		Ploima	Lecanidae	Lecane	luna
CAMPTOCERCUS RECTIROSTRIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Camptocercus	rectirostris
LEYDIGIA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Leydigia	
LEYDIGIA ACANTHOCERCOIDES	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Leydigia	acanthocercoides
PLEUROXUS PROCURVUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Pleuroxus	procurvus
SIMOCEPHALUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Simocephalus	
BRACHIONUS BIDENTATA	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	Bidentata
BRACHIONUS RUBENS	Rotifera		Monogononta		Ploima	Brachionidae	Brachionus	rubens
COLLOTHECA PELAGICA	Rotifera		Monogononta		Collothecaceae	Collothecidae	Collotheca	pelagica
EUCYCLOPS SERRULATUS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Eucyclops	serrulatus
LOPHOCHARIS OXYSTERNON	Rotifera		Monogononta		Ploima	Mytilinidae	Lophocharis	oxysternon
MONOSTYLA CRENATA	Rotifera		Monogononta		Ploima	Lecanidae	Monostyla	crenata
POMPHYLOX	Rotifera		Monogononta		Flosculariaceae	Testudinellidae	Pompholyx	
