lakeid,year4,sample_date,station,species_code,species_name,density,individuals_measured,avg_length
AL,1982,1982-06-09,1,61402,FILINIA TERMINALIS,4.2,,
AL,1982,1982-06-09,1,61502,GASTROPUS STYLIFER,1.4,,
AL,1982,1982-06-09,1,51801,HOLOPEDIUM GIBBERUM,0.7,,
AL,1982,1982-06-09,1,61702,KELLICOTTIA LONGISPINA,26.7,,
AL,1982,1982-06-09,1,61801,KERATELLA COCHLEARIS,84.4,,
AL,1982,1982-06-09,1,61804,KERATELLA EARLINAE,9.8,,
AL,1982,1982-06-09,1,63001,POLYARTHRA DOLICHOPTERA,19.7,,
AL,1982,1982-06-09,1,30801,SKISTODIAPTOMUS OREGONENSIS,11.9,,
AL,1982,1982-06-09,1,63400,SYNCHAETA,70.3,,
AL,1982,1982-06-09,1,63603,TRICHOCERCA CYLINDRICA,2.8,,
AL,1982,1982-06-09,1,63612,TRICHOCERCA MULTICRINIS,4.2,,
AL,1982,1982-06-09,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,12.6,,
AL,1982,1982-08-05,1,20101,ACANTHOCYCLOPS VERNALIS,4.1,,
AL,1982,1982-08-05,1,60202,ASCOMORPHA OVALIS,0.8,,
AL,1982,1982-08-05,1,60601,COLLOTHECA MUTABILIS,6.5,,
AL,1982,1982-08-05,1,60900,CONOCHILUS,96,,
AL,1982,1982-08-05,1,10000,COPEPOD NAUPLII,36.6,,
AL,1982,1982-08-05,1,20000,CYCLOPOID,1.6,,
AL,1982,1982-08-05,1,51100,DAPHNIA,0.8,,
AL,1982,1982-08-05,1,51103,DAPHNIA MENDOTAE,14.6,,
AL,1982,1982-08-05,1,51202,DIAPHANOSOMA BIRGEI,0.8,,
AL,1982,1982-08-05,1,61702,KELLICOTTIA LONGISPINA,2.4,,
AL,1982,1982-08-05,1,61801,KERATELLA COCHLEARIS,17.1,,
AL,1982,1982-08-05,1,61803,KERATELLA CRASSA,0.8,,
AL,1982,1982-08-05,1,61804,KERATELLA EARLINAE,5.7,,
AL,1982,1982-08-05,1,63003,POLYARTHRA MAJOR,0.8,,
AL,1982,1982-08-05,1,63005,POLYARTHRA VULGARIS,13,,
AL,1982,1982-08-05,1,63100,POMPHOLYX,1.6,,
AL,1982,1982-08-05,1,30801,SKISTODIAPTOMUS OREGONENSIS,4.8,,
AL,1982,1982-08-05,1,63603,TRICHOCERCA CYLINDRICA,0.8,,
AL,1982,1982-08-05,1,63617,TRICHOCERCA SIMILIS,4.1,,
AL,1982,1982-08-05,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,4,,
AL,1982,1982-11-08,1,60300,ASPLANCHNA,4.5,,
AL,1982,1982-11-08,1,50700,BOSMINIDAE,2.2,,
AL,1982,1982-11-08,1,10000,COPEPOD NAUPLII,5.6,,
AL,1982,1982-11-08,1,51100,DAPHNIA,40.3,,
AL,1982,1982-11-08,1,61402,FILINIA TERMINALIS,1.1,,
AL,1982,1982-11-08,1,61702,KELLICOTTIA LONGISPINA,1.1,,
AL,1982,1982-11-08,1,61801,KERATELLA COCHLEARIS,38,,
AL,1982,1982-11-08,1,61804,KERATELLA EARLINAE,21.3,,
AL,1982,1982-11-08,1,61805,KERATELLA HIEMALIS,2.2,,
AL,1982,1982-11-08,1,61806,KERATELLA QUADRATA,3.4,,
AL,1982,1982-11-08,1,63000,POLYARTHRA,6.7,,
AL,1982,1982-11-08,1,30801,SKISTODIAPTOMUS OREGONENSIS,4.4,,
AL,1982,1982-11-08,1,63400,SYNCHAETA,2.2,,
AL,1982,1982-11-08,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.1,,
AL,1983,1983-02-18,1,10000,COPEPOD NAUPLII,8,,
AL,1983,1983-02-18,1,51103,DAPHNIA MENDOTAE,2.9,,
AL,1983,1983-02-18,1,61502,GASTROPUS STYLIFER,0.7,,
AL,1983,1983-02-18,1,61702,KELLICOTTIA LONGISPINA,0.7,,
AL,1983,1983-02-18,1,61801,KERATELLA COCHLEARIS,3.7,,
AL,1983,1983-02-18,1,61804,KERATELLA EARLINAE,5.8,,
AL,1983,1983-02-18,1,61808,KERATELLA TAUROCEPHALA,0.7,,
AL,1983,1983-02-18,1,63005,POLYARTHRA VULGARIS,3.7,,
AL,1983,1983-02-18,1,30801,SKISTODIAPTOMUS OREGONENSIS,2.9,,
AL,1983,1983-02-18,1,63400,SYNCHAETA,0.7,,
AL,1983,1983-02-18,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,13.1,,
AL,1983,1983-05-10,1,20101,ACANTHOCYCLOPS VERNALIS,0.6,,
AL,1983,1983-05-10,1,60900,CONOCHILUS,38.3,,
AL,1983,1983-05-10,1,10000,COPEPOD NAUPLII,28.6,,
AL,1983,1983-05-10,1,20000,CYCLOPOID,7.3,,
AL,1983,1983-05-10,1,20302,DIACYCLOPS THOMASI,4.2,,
AL,1983,1983-05-10,1,61402,FILINIA TERMINALIS,3,,
AL,1983,1983-05-10,1,51801,HOLOPEDIUM GIBBERUM,0.6,,
AL,1983,1983-05-10,1,61702,KELLICOTTIA LONGISPINA,10.4,,
AL,1983,1983-05-10,1,61801,KERATELLA COCHLEARIS,11,,
AL,1983,1983-05-10,1,61803,KERATELLA CRASSA,0.6,,
AL,1983,1983-05-10,1,61804,KERATELLA EARLINAE,28.6,,
AL,1983,1983-05-10,1,61805,KERATELLA HIEMALIS,74.2,,
AL,1983,1983-05-10,1,61806,KERATELLA QUADRATA,18.3,,
AL,1983,1983-05-10,1,63001,POLYARTHRA DOLICHOPTERA,48.7,,
AL,1983,1983-05-10,1,63004,POLYARTHRA REMATA,2.4,,
AL,1983,1983-05-10,1,63005,POLYARTHRA VULGARIS,8.5,,
AL,1983,1983-05-10,1,30801,SKISTODIAPTOMUS OREGONENSIS,0.6,,
AL,1983,1983-05-10,1,63400,SYNCHAETA,29.8,,
AL,1983,1983-05-10,1,63616,TRICHOCERCA ROUSSELETI,0.6,,
AL,1983,1983-05-10,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.8,,
AL,1983,1983-06-22,1,60202,ASCOMORPHA OVALIS,11.2,,
AL,1983,1983-06-22,1,60300,ASPLANCHNA,19.2,,
AL,1983,1983-06-22,1,50900,CERIODAPHNIA,0.8,,
AL,1983,1983-06-22,1,60900,CONOCHILUS,22.4,,
AL,1983,1983-06-22,1,10000,COPEPOD NAUPLII,94.3,,
AL,1983,1983-06-22,1,20000,CYCLOPOID,7.2,,
AL,1983,1983-06-22,1,51103,DAPHNIA MENDOTAE,9.6,,
AL,1983,1983-06-22,1,51130,DAPHNIA PULICARIA,0.8,,
AL,1983,1983-06-22,1,20302,DIACYCLOPS THOMASI,4.8,,
AL,1983,1983-06-22,1,51202,DIAPHANOSOMA BIRGEI,0.8,,
AL,1983,1983-06-22,1,61502,GASTROPUS STYLIFER,3.2,,
AL,1983,1983-06-22,1,51801,HOLOPEDIUM GIBBERUM,0.8,,
AL,1983,1983-06-22,1,61702,KELLICOTTIA LONGISPINA,22.4,,
AL,1983,1983-06-22,1,61801,KERATELLA COCHLEARIS,71.9,,
AL,1983,1983-06-22,1,61803,KERATELLA CRASSA,11.2,,
AL,1983,1983-06-22,1,61804,KERATELLA EARLINAE,9.6,,
AL,1983,1983-06-22,1,63003,POLYARTHRA MAJOR,1.6,,
AL,1983,1983-06-22,1,63004,POLYARTHRA REMATA,19.2,,
AL,1983,1983-06-22,1,63005,POLYARTHRA VULGARIS,43.1,,
AL,1983,1983-06-22,1,30801,SKISTODIAPTOMUS OREGONENSIS,16,,
AL,1983,1983-06-22,1,63400,SYNCHAETA,35.1,,
AL,1983,1983-06-22,1,63603,TRICHOCERCA CYLINDRICA,6.4,,
AL,1983,1983-06-22,1,63612,TRICHOCERCA MULTICRINIS,6.4,,
AL,1983,1983-06-22,1,63616,TRICHOCERCA ROUSSELETI,9.6,,
AL,1983,1983-06-22,1,63617,TRICHOCERCA SIMILIS,1.6,,
AL,1983,1983-06-22,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,3.2,,
AL,1983,1983-08-15,1,20101,ACANTHOCYCLOPS VERNALIS,0.5,,
AL,1983,1983-08-15,1,60202,ASCOMORPHA OVALIS,3.1,,
AL,1983,1983-08-15,1,60300,ASPLANCHNA,3.1,,
AL,1983,1983-08-15,1,60900,CONOCHILUS,39.7,,
AL,1983,1983-08-15,1,10000,COPEPOD NAUPLII,28.2,,
AL,1983,1983-08-15,1,20000,CYCLOPOID,2.1,,
AL,1983,1983-08-15,1,51103,DAPHNIA MENDOTAE,12,,
AL,1983,1983-08-15,1,51202,DIAPHANOSOMA BIRGEI,1.1,,
AL,1983,1983-08-15,1,61502,GASTROPUS STYLIFER,6.3,,
AL,1983,1983-08-15,1,51801,HOLOPEDIUM GIBBERUM,0.5,,
AL,1983,1983-08-15,1,61702,KELLICOTTIA LONGISPINA,1.1,,
AL,1983,1983-08-15,1,61801,KERATELLA COCHLEARIS,74.2,,
AL,1983,1983-08-15,1,61803,KERATELLA CRASSA,2.1,,
AL,1983,1983-08-15,1,61804,KERATELLA EARLINAE,2.1,,
AL,1983,1983-08-15,1,20601,MESOCYCLOPS EDAX,2.7,,
AL,1983,1983-08-15,1,62900,PLOESOMA,1.1,,
AL,1983,1983-08-15,1,63001,POLYARTHRA DOLICHOPTERA,16.7,,
AL,1983,1983-08-15,1,63004,POLYARTHRA REMATA,16.7,,
AL,1983,1983-08-15,1,63005,POLYARTHRA VULGARIS,114,,
AL,1983,1983-08-15,1,63100,POMPHOLYX,7.3,,
AL,1983,1983-08-15,1,30801,SKISTODIAPTOMUS OREGONENSIS,4.7,,
AL,1983,1983-08-15,1,63603,TRICHOCERCA CYLINDRICA,97.2,,
AL,1983,1983-08-15,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.1,,
AL,1983,1983-10-18,1,60300,ASPLANCHNA,1.3,,
AL,1983,1983-10-18,1,50700,BOSMINIDAE,0.7,,
AL,1983,1983-10-18,1,10000,COPEPOD NAUPLII,25.5,,
AL,1983,1983-10-18,1,20000,CYCLOPOID,3.4,,
AL,1983,1983-10-18,1,51100,DAPHNIA,9.4,,
AL,1983,1983-10-18,1,61803,KERATELLA CRASSA,0.7,,
AL,1983,1983-10-18,1,61804,KERATELLA EARLINAE,23.5,,
AL,1983,1983-10-18,1,63000,POLYARTHRA,4.7,,
AL,1983,1983-10-18,1,30801,SKISTODIAPTOMUS OREGONENSIS,14.7,,
AL,1983,1983-10-18,1,63400,SYNCHAETA,2.7,,
AL,1983,1983-10-18,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.4,,
AL,1984,1984-02-29,1,10000,COPEPOD NAUPLII,20.1,,
AL,1984,1984-02-29,1,51100,DAPHNIA,0.7,,
AL,1984,1984-02-29,1,61701,KELLICOTTIA BOSTONIENSIS,0.7,,
AL,1984,1984-02-29,1,61801,KERATELLA COCHLEARIS,6.7,,
AL,1984,1984-02-29,1,61804,KERATELLA EARLINAE,8.1,,
AL,1984,1984-02-29,1,61805,KERATELLA HIEMALIS,4,,
AL,1984,1984-02-29,1,61806,KERATELLA QUADRATA,2,,
AL,1984,1984-02-29,1,63000,POLYARTHRA,0.7,,
AL,1984,1984-02-29,1,30801,SKISTODIAPTOMUS OREGONENSIS,6.7,,
AL,1984,1984-02-29,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.7,,
AL,1984,1984-05-09,1,60300,ASPLANCHNA,0.8,,
AL,1984,1984-05-09,1,60900,CONOCHILUS,3.8,,
AL,1984,1984-05-09,1,10000,COPEPOD NAUPLII,93.6,,
AL,1984,1984-05-09,1,20000,CYCLOPOID,29.9,,
AL,1984,1984-05-09,1,51100,DAPHNIA,5.4,,
AL,1984,1984-05-09,1,61402,FILINIA TERMINALIS,16.1,,
AL,1984,1984-05-09,1,51801,HOLOPEDIUM GIBBERUM,0.8,,
AL,1984,1984-05-09,1,61804,KERATELLA EARLINAE,27.6,,
AL,1984,1984-05-09,1,61806,KERATELLA QUADRATA,74.4,,
AL,1984,1984-05-09,1,63000,POLYARTHRA,3.1,,
AL,1984,1984-05-09,1,30801,SKISTODIAPTOMUS OREGONENSIS,2.3,,
AL,1984,1984-06-21,1,60300,ASPLANCHNA,2.2,,
AL,1984,1984-06-21,1,50700,BOSMINIDAE,0.7,,
AL,1984,1984-06-21,1,10000,COPEPOD NAUPLII,32.3,,
AL,1984,1984-06-21,1,20000,CYCLOPOID,2.9,,
AL,1984,1984-06-21,1,51100,DAPHNIA,16.2,,
AL,1984,1984-06-21,1,20302,DIACYCLOPS THOMASI,5.1,,
AL,1984,1984-06-21,1,61702,KELLICOTTIA LONGISPINA,2.2,,
AL,1984,1984-06-21,1,61803,KERATELLA CRASSA,0.7,,
AL,1984,1984-06-21,1,61804,KERATELLA EARLINAE,54.4,,
AL,1984,1984-06-21,1,63000,POLYARTHRA,63.2,,
AL,1984,1984-06-21,1,63603,TRICHOCERCA CYLINDRICA,5.9,,
AL,1984,1984-08-14,1,20101,ACANTHOCYCLOPS VERNALIS,1.3,,
AL,1984,1984-08-14,1,60202,ASCOMORPHA OVALIS,10.2,,
AL,1984,1984-08-14,1,60601,COLLOTHECA MUTABILIS,2.6,,
AL,1984,1984-08-14,1,60900,CONOCHILUS,1.3,,
AL,1984,1984-08-14,1,10000,COPEPOD NAUPLII,26.2,,
AL,1984,1984-08-14,1,20000,CYCLOPOID,0.6,,
AL,1984,1984-08-14,1,51103,DAPHNIA MENDOTAE,6.4,,
AL,1984,1984-08-14,1,20302,DIACYCLOPS THOMASI,1.8,,
AL,1984,1984-08-14,1,51202,DIAPHANOSOMA BIRGEI,0.6,,
AL,1984,1984-08-14,1,61502,GASTROPUS STYLIFER,1.3,,
AL,1984,1984-08-14,1,61702,KELLICOTTIA LONGISPINA,1.9,,
AL,1984,1984-08-14,1,61801,KERATELLA COCHLEARIS,66.5,,
AL,1984,1984-08-14,1,61803,KERATELLA CRASSA,0.6,,
AL,1984,1984-08-14,1,61804,KERATELLA EARLINAE,14.7,,
AL,1984,1984-08-14,1,61808,KERATELLA TAUROCEPHALA,1.9,,
AL,1984,1984-08-14,1,62900,PLOESOMA,1.3,,
AL,1984,1984-08-14,1,63003,POLYARTHRA MAJOR,8.3,,
AL,1984,1984-08-14,1,63004,POLYARTHRA REMATA,15.3,,
AL,1984,1984-08-14,1,63005,POLYARTHRA VULGARIS,26.8,,
AL,1984,1984-08-14,1,63100,POMPHOLYX,6.4,,
AL,1984,1984-08-14,1,30801,SKISTODIAPTOMUS OREGONENSIS,5.7,,
AL,1984,1984-08-14,1,63400,SYNCHAETA,2.6,,
AL,1984,1984-08-14,1,63602,TRICHOCERCA BIROSTRIS,1.3,,
AL,1984,1984-08-14,1,63616,TRICHOCERCA ROUSSELETI,1.9,,
AL,1984,1984-08-14,1,63617,TRICHOCERCA SIMILIS,1.3,,
AL,1984,1984-11-08,1,50700,BOSMINIDAE,26.1,,
AL,1984,1984-11-08,1,51000,CHYDORUS,2.9,,
AL,1984,1984-11-08,1,60900,CONOCHILUS,1.5,,
AL,1984,1984-11-08,1,10000,COPEPOD NAUPLII,26.1,,
AL,1984,1984-11-08,1,20000,CYCLOPOID,2.9,,
AL,1984,1984-11-08,1,51100,DAPHNIA,14.5,,
AL,1984,1984-11-08,1,61502,GASTROPUS STYLIFER,2.9,,
AL,1984,1984-11-08,1,61702,KELLICOTTIA LONGISPINA,2.9,,
AL,1984,1984-11-08,1,61801,KERATELLA COCHLEARIS,289,,
AL,1984,1984-11-08,1,61803,KERATELLA CRASSA,1.5,,
AL,1984,1984-11-08,1,61806,KERATELLA QUADRATA,4.4,,
AL,1984,1984-11-08,1,20601,MESOCYCLOPS EDAX,1.5,,
AL,1984,1984-11-08,1,63004,POLYARTHRA REMATA,7.3,,
AL,1984,1984-11-08,1,63005,POLYARTHRA VULGARIS,5.8,,
AL,1984,1984-11-08,1,30801,SKISTODIAPTOMUS OREGONENSIS,21.8,,
AL,1984,1984-11-08,1,63400,SYNCHAETA,2.9,,
AL,1984,1984-11-08,1,63602,TRICHOCERCA BIROSTRIS,1.5,,
AL,1984,1984-11-08,1,63613,TRICHOCERCA PORCELLUS,2.9,,
AL,1984,1984-11-08,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.9,,
AL,1985,1985-02-25,1,50700,BOSMINIDAE,2,,
AL,1985,1985-02-25,1,10000,COPEPOD NAUPLII,38.9,,
AL,1985,1985-02-25,1,51100,DAPHNIA,15.4,,
AL,1985,1985-02-25,1,20302,DIACYCLOPS THOMASI,1.4,,
AL,1985,1985-02-25,1,61402,FILINIA TERMINALIS,2.7,,
AL,1985,1985-02-25,1,61702,KELLICOTTIA LONGISPINA,1.3,,
AL,1985,1985-02-25,1,61803,KERATELLA CRASSA,1.3,,
AL,1985,1985-02-25,1,61804,KERATELLA EARLINAE,107.4,,
AL,1985,1985-02-25,1,61805,KERATELLA HIEMALIS,3.4,,
AL,1985,1985-02-25,1,61806,KERATELLA QUADRATA,7.4,,
AL,1985,1985-02-25,1,62608,NOTHOLCA SQUAMULA,0.7,,
AL,1985,1985-02-25,1,30801,SKISTODIAPTOMUS OREGONENSIS,2,,
AL,1985,1985-04-30,1,50700,BOSMINIDAE,0.8,,
AL,1985,1985-04-30,1,60900,CONOCHILUS,3.2,,
AL,1985,1985-04-30,1,10000,COPEPOD NAUPLII,72.7,,
AL,1985,1985-04-30,1,20000,CYCLOPOID,40.7,,
AL,1985,1985-04-30,1,51100,DAPHNIA,0.8,,
AL,1985,1985-04-30,1,20302,DIACYCLOPS THOMASI,2.4,,
AL,1985,1985-04-30,1,61402,FILINIA TERMINALIS,12.8,,
AL,1985,1985-04-30,1,51801,HOLOPEDIUM GIBBERUM,0.8,,
AL,1985,1985-04-30,1,61804,KERATELLA EARLINAE,8,,
AL,1985,1985-04-30,1,61805,KERATELLA HIEMALIS,4,,
AL,1985,1985-04-30,1,61806,KERATELLA QUADRATA,12.8,,
AL,1985,1985-04-30,1,20601,MESOCYCLOPS EDAX,1.6,,
AL,1985,1985-04-30,1,62607,NOTHOLCA MICHIGANENSIS,0.8,,
AL,1985,1985-04-30,1,63000,POLYARTHRA,3.2,,
AL,1985,1985-04-30,1,30801,SKISTODIAPTOMUS OREGONENSIS,3.2,,
AL,1985,1985-06-11,1,20101,ACANTHOCYCLOPS VERNALIS,1.5,,
AL,1985,1985-06-11,1,60202,ASCOMORPHA OVALIS,6,,
AL,1985,1985-06-11,1,60300,ASPLANCHNA,16.6,,
AL,1985,1985-06-11,1,51000,CHYDORUS,1.5,,
AL,1985,1985-06-11,1,60900,CONOCHILUS,4.5,,
AL,1985,1985-06-11,1,10000,COPEPOD NAUPLII,42.3,,
AL,1985,1985-06-11,1,20000,CYCLOPOID,13.6,,
AL,1985,1985-06-11,1,51100,DAPHNIA,9.1,,
AL,1985,1985-06-11,1,61501,GASTROPUS HYPTOPUS,1.5,,
AL,1985,1985-06-11,1,61502,GASTROPUS STYLIFER,9.1,,
AL,1985,1985-06-11,1,61702,KELLICOTTIA LONGISPINA,78.5,,
AL,1985,1985-06-11,1,61801,KERATELLA COCHLEARIS,145,,
AL,1985,1985-06-11,1,61804,KERATELLA EARLINAE,22.7,,
AL,1985,1985-06-11,1,63005,POLYARTHRA VULGARIS,128.4,,
AL,1985,1985-06-11,1,30801,SKISTODIAPTOMUS OREGONENSIS,7.5,,
AL,1985,1985-06-11,1,63400,SYNCHAETA,27.2,,
AL,1985,1985-06-11,1,63613,TRICHOCERCA PORCELLUS,1.5,,
AL,1985,1985-06-11,1,63616,TRICHOCERCA ROUSSELETI,25.7,,
AL,1985,1985-06-11,1,63617,TRICHOCERCA SIMILIS,1.5,,
AL,1985,1985-06-11,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.5,,
AL,1985,1985-08-19,1,60202,ASCOMORPHA OVALIS,2.5,,
AL,1985,1985-08-19,1,50700,BOSMINIDAE,1.9,,
AL,1985,1985-08-19,1,51000,CHYDORUS,2.5,,
AL,1985,1985-08-19,1,60900,CONOCHILUS,26.2,,
AL,1985,1985-08-19,1,10000,COPEPOD NAUPLII,32.4,,
AL,1985,1985-08-19,1,20000,CYCLOPOID,0.6,,
AL,1985,1985-08-19,1,51103,DAPHNIA MENDOTAE,3.7,,
AL,1985,1985-08-19,1,61502,GASTROPUS STYLIFER,11.2,,
AL,1985,1985-08-19,1,61702,KELLICOTTIA LONGISPINA,3.7,,
AL,1985,1985-08-19,1,61801,KERATELLA COCHLEARIS,290.3,,
AL,1985,1985-08-19,1,61803,KERATELLA CRASSA,23.7,,
AL,1985,1985-08-19,1,20601,MESOCYCLOPS EDAX,0.6,,
AL,1985,1985-08-19,1,63001,POLYARTHRA DOLICHOPTERA,2.5,,
AL,1985,1985-08-19,1,63003,POLYARTHRA MAJOR,2.5,,
AL,1985,1985-08-19,1,63004,POLYARTHRA REMATA,54.8,,
AL,1985,1985-08-19,1,63005,POLYARTHRA VULGARIS,181.9,,
AL,1985,1985-08-19,1,63100,POMPHOLYX,2.5,,
AL,1985,1985-08-19,1,30801,SKISTODIAPTOMUS OREGONENSIS,1.9,,
AL,1985,1985-08-19,1,63616,TRICHOCERCA ROUSSELETI,1.3,,
AL,1985,1985-08-19,1,63617,TRICHOCERCA SIMILIS,3.7,,
AL,1985,1985-08-19,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.6,,
AL,1985,1985-11-11,1,51000,CHYDORUS,3.7,,
AL,1985,1985-11-11,1,60900,CONOCHILUS,10,,
AL,1985,1985-11-11,1,10000,COPEPOD NAUPLII,31.2,,
AL,1985,1985-11-11,1,51100,DAPHNIA,7.5,,
AL,1985,1985-11-11,1,61702,KELLICOTTIA LONGISPINA,8.7,,
AL,1985,1985-11-11,1,61800,KERATELLA,39.9,,
AL,1985,1985-11-11,1,61803,KERATELLA CRASSA,3.7,,
AL,1985,1985-11-11,1,61806,KERATELLA QUADRATA,5,,
AL,1985,1985-11-11,1,63003,POLYARTHRA MAJOR,1.3,,
AL,1985,1985-11-11,1,30801,SKISTODIAPTOMUS OREGONENSIS,1.3,,
AL,1985,1985-11-11,1,63612,TRICHOCERCA MULTICRINIS,1.3,,
AL,1985,1985-11-11,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.3,,
AL,1986,1986-03-03,1,10000,COPEPOD NAUPLII,2.8,,
AL,1986,1986-03-03,1,51103,DAPHNIA MENDOTAE,9.2,,
AL,1986,1986-03-03,1,51130,DAPHNIA PULICARIA,6.4,,
AL,1986,1986-03-03,1,20302,DIACYCLOPS THOMASI,0.8,,
AL,1986,1986-03-03,1,61702,KELLICOTTIA LONGISPINA,0.8,,
AL,1986,1986-03-03,1,61801,KERATELLA COCHLEARIS,16,,
AL,1986,1986-03-03,1,61803,KERATELLA CRASSA,0.8,,
AL,1986,1986-03-03,1,61804,KERATELLA EARLINAE,1.2,,
AL,1986,1986-03-03,1,61805,KERATELLA HIEMALIS,1.2,,
AL,1986,1986-03-03,1,61806,KERATELLA QUADRATA,13.2,,
AL,1986,1986-03-03,1,30801,SKISTODIAPTOMUS OREGONENSIS,2.8,,
AL,1986,1986-03-03,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.4,,
AL,1986,1986-04-24,1,20101,ACANTHOCYCLOPS VERNALIS,0.8,,
AL,1986,1986-04-24,1,60900,CONOCHILUS,4,,
AL,1986,1986-04-24,1,10000,COPEPOD NAUPLII,44.4,,
AL,1986,1986-04-24,1,20000,CYCLOPOID,6.8,,
AL,1986,1986-04-24,1,51130,DAPHNIA PULICARIA,0.8,,
AL,1986,1986-04-24,1,61402,FILINIA TERMINALIS,8.4,,
AL,1986,1986-04-24,1,61502,GASTROPUS STYLIFER,2,,
AL,1986,1986-04-24,1,61702,KELLICOTTIA LONGISPINA,20.8,,
AL,1986,1986-04-24,1,61801,KERATELLA COCHLEARIS,40.3,,
AL,1986,1986-04-24,1,61803,KERATELLA CRASSA,0.4,,
AL,1986,1986-04-24,1,61804,KERATELLA EARLINAE,2.4,,
AL,1986,1986-04-24,1,61805,KERATELLA HIEMALIS,27.2,,
AL,1986,1986-04-24,1,61806,KERATELLA QUADRATA,7.2,,
AL,1986,1986-04-24,1,63001,POLYARTHRA DOLICHOPTERA,0.4,,
AL,1986,1986-04-24,1,63003,POLYARTHRA MAJOR,0.4,,
AL,1986,1986-04-24,1,63005,POLYARTHRA VULGARIS,0.4,,
AL,1986,1986-04-24,1,30801,SKISTODIAPTOMUS OREGONENSIS,2.4,,
AL,1986,1986-04-24,1,63400,SYNCHAETA,39.9,,
AL,1986,1986-04-24,1,63700,TRICHOTRIA,0.4,,
AL,1986,1986-07-02,1,60202,ASCOMORPHA OVALIS,5.8,,
AL,1986,1986-07-02,1,60300,ASPLANCHNA,2.3,,
AL,1986,1986-07-02,1,60900,CONOCHILUS,30,,
AL,1986,1986-07-02,1,10000,COPEPOD NAUPLII,24.3,,
AL,1986,1986-07-02,1,20000,CYCLOPOID,0.6,,
AL,1986,1986-07-02,1,51100,DAPHNIA,0.6,,
AL,1986,1986-07-02,1,51130,DAPHNIA PULICARIA,3.5,,
AL,1986,1986-07-02,1,61502,GASTROPUS STYLIFER,6.9,,
AL,1986,1986-07-02,1,61803,KERATELLA CRASSA,6.9,,
AL,1986,1986-07-02,1,61804,KERATELLA EARLINAE,9.2,,
AL,1986,1986-07-02,1,30402,LEPTODIAPTOMUS MINUTUS,9.3,,
