lakeid,year4,daynum,sampledate,sta,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
AL,1983,159,1983-06-08,1,2.7,1029,1215,16,NW,3,2,83,
AL,1983,159,1983-06-08,1,,,,,,,,,
AL,1983,173,1983-06-22,1,3,1600,1745,27,SE,7,5,99,
AL,1983,173,1983-06-22,1,,,,,,,,,
AL,1983,186,1983-07-05,1,3.4,1032,1232,13.5,N,5,5,10,
AL,1983,186,1983-07-05,1,,,,,,,,,
AL,1983,201,1983-07-20,1,3.9,1440,1610,28,W,5,5,95,
AL,1983,201,1983-07-20,1,,,,,,,,,
AL,1983,216,1983-08-04,1,2.6,1015,1210,28,NW,1,5,35,
AL,1983,216,1983-08-04,1,,,,,,,,,
AL,1983,227,1983-08-15,1,2.8,1524,1655,28,S,1,0,99,
AL,1983,227,1983-08-15,1,,,,,,,,,
AL,1983,252,1983-09-09,1,2.9,1514,1632,26.5,N,,8,80,
AL,1983,252,1983-09-09,1,,,,,,,,,
AL,1983,272,1983-09-29,1,1.3,1328,1454,21.2,W,5,3,99,
AL,1983,272,1983-09-29,1,,,,,,,,,
AL,1983,291,1983-10-18,1,2.5,1355,1450,8.9,NE,1,2,95,
AL,1983,291,1983-10-18,1,,,,,,,,,
AL,1983,320,1983-11-16,1,2.3,1017,1119,1.9,N,8,3,95,
AL,1983,320,1983-11-16,1,,,,,,,,,
AL,1984,6,1984-01-06,1,2.2,1250,1400,0.7,W,5,,90,1
AL,1984,6,1984-01-06,1,,,,,,,,,1
AL,1984,60,1984-02-29,1,2.9,1530,1645,-8.7,W,8,,0,1
AL,1984,60,1984-02-29,1,,,,,,,,,1
AL,1984,94,1984-04-03,1,3.5,1335,1515,7,E,5,,95,1
AL,1984,94,1984-04-03,1,,,,,,,,,1
AL,1984,130,1984-05-09,1,2.3,1008,1118,3.8,W,10,10,99,
AL,1984,130,1984-05-09,1,,,,,,,,,
AL,1984,144,1984-05-23,1,3.5,1503,1635,17.9,W,13,13,32,
AL,1984,144,1984-05-23,1,,,,,,,,,
AL,1984,157,1984-06-05,1,2.4,847,1035,18,S,5,3,99,
AL,1984,157,1984-06-05,1,,,,,,,,,
AL,1984,173,1984-06-21,1,3.9,1020,1135,23.2,E,4,3,3,
AL,1984,173,1984-06-21,1,,,,,,,,,
AL,1984,185,1984-07-03,1,3.2,1434,1602,22.4,W,7,6,99,
AL,1984,185,1984-07-03,1,,,,,,,,,
AL,1984,200,1984-07-18,1,2.8,730,852,15.1,NW,6,4,0,
AL,1984,200,1984-07-18,1,,,,,,,,,
AL,1984,215,1984-08-02,1,3.1,855,1017,20.1,,0,0,99,
AL,1984,215,1984-08-02,1,,,,,,,,,
AL,1984,227,1984-08-14,1,3.2,1006,1125,24.1,W,7,5,99,
AL,1984,227,1984-08-14,1,,,,,,,,,
AL,1984,250,1984-09-06,1,1.8,1554,1730,18.3,S,11,7,99,
AL,1984,250,1984-09-06,1,,,,,,,,,
AL,1984,268,1984-09-24,1,1.8,1338,1542,16.8,SE,1,2,99,
AL,1984,268,1984-09-24,1,,,,,,,,,
AL,1984,289,1984-10-15,1,2.4,1419,1657,14,W,10,8,99,
AL,1984,289,1984-10-15,1,,,,,,,,,
AL,1984,313,1984-11-08,1,1.8,903,1043,5.1,SSE,1,2,99,
AL,1984,313,1984-11-08,1,,,,,,,,,
AL,1985,7,1985-01-07,1,3,1000,1101,-3.8,W,5,,95,1
AL,1985,7,1985-01-07,1,,,,,,,,,1
AL,1985,56,1985-02-25,1,3.6,1300,1425,2,S,3,,99,1
AL,1985,56,1985-02-25,1,,,,,,,,,1
AL,1985,86,1985-03-27,1,4,1418,1555,6.9,NW,8,,85,1
AL,1985,86,1985-03-27,1,,,,,,,,,1
AL,1985,120,1985-04-30,1,2,1505,1640,16.5,NNW,5,8,60,
AL,1985,120,1985-04-30,1,,,,,,,,,
AL,1985,136,1985-05-16,1,3.6,1300,1420,11.3,N,8,18,99,
AL,1985,136,1985-05-16,1,,,,,,,,,
AL,1985,148,1985-05-28,1,3.8,1350,1545,18,E,1,0,0,
AL,1985,148,1985-05-28,1,,,,,,,,,
AL,1985,162,1985-06-11,1,2.3,1350,1524,18.5,NE,3,6,99,
AL,1985,162,1985-06-11,1,,,,,,,,,
AL,1985,175,1985-06-24,1,3.3,1357,1548,23,SW,1,1,20,
AL,1985,175,1985-06-24,1,,,,,,,,,
AL,1985,192,1985-07-11,1,4.3,,,20.5,,0,0,8,
AL,1985,192,1985-07-11,1,,,,,,,,,
AL,1985,204,1985-07-23,1,2.7,942,1108,24,SSE,5,5,20,
AL,1985,204,1985-07-23,1,,,,,,,,,
AL,1985,219,1985-08-07,1,2.8,923,1100,22,W,3,9,0,
AL,1985,219,1985-08-07,1,,,,,,,,,
AL,1985,231,1985-08-19,1,1.5,952,1133,13,W,11,21,99,
AL,1985,231,1985-08-19,1,,,,,,,,,
AL,1985,255,1985-09-12,1,2,1414,1520,17,SSW,8,10,40,
AL,1985,255,1985-09-12,1,,,,,,,,,
AL,1985,273,1985-09-30,1,2,925,1055,5.5,NW,7,22,99,
AL,1985,273,1985-09-30,1,,,,,,,,,
AL,1985,295,1985-10-22,1,2.4,1358,1510,15,SW,5,7,90,
AL,1985,295,1985-10-22,1,,,,,,,,,
AL,1985,315,1985-11-11,1,2.8,1419,1549,-0.5,N,9,11,99,
AL,1985,315,1985-11-11,1,,,,,,,,,
AL,1986,16,1986-01-16,1,,1106,1220,0.4,SE,5,,99,1
AL,1986,16,1986-01-16,1,,,,,,,,,1
AL,1986,62,1986-03-03,1,2.3,923,1012,1,NW,5,,95,1
AL,1986,62,1986-03-03,1,,,,,,,,,1
AL,1986,90,1986-03-31,1,4.2,935,1030,10.8,SW,18,,13,1
AL,1986,90,1986-03-31,1,,,,,,,,,1
AL,1986,114,1986-04-24,1,1.8,1209,1315,18,S,7,3,99,
AL,1986,114,1986-04-24,1,,,,,,,,,
AL,1986,128,1986-05-08,1,3,1245,1345,13,NE,7,5,99,
AL,1986,128,1986-05-08,1,,,,,,,,,
AL,1986,140,1986-05-20,1,5.4,1000,1145,15,N,8,10,0,
AL,1986,140,1986-05-20,1,,,,,,,,,
AL,1986,153,1986-06-02,1,3.8,920,1030,14.9,SE,8,5,0,
AL,1986,153,1986-06-02,1,,,,,,,,,
AL,1986,169,1986-06-18,1,6.1,1400,1548,24.5,E,3,1,10,
AL,1986,169,1986-06-18,1,,,,,,,,,
AL,1986,183,1986-07-02,1,4,1203,1328,19,NE,13,8,45,
AL,1986,183,1986-07-02,1,,,,,,,,,
AL,1986,197,1986-07-16,1,3.2,1350,1520,23,SE,10,3,99,
AL,1986,197,1986-07-16,1,,,,,,,,,
AL,1986,209,1986-07-28,1,3.4,1453,,23.9,N,13,15,5,
AL,1986,209,1986-07-28,1,,,,,,,,,
AL,1986,225,1986-08-13,1,2.4,858,1015,21,SE,15,5,10,
AL,1986,225,1986-08-13,1,,,,,,,,,
AL,1986,238,1986-08-26,1,1.9,1007,1059,15,W,8,3,99,
AL,1986,238,1986-08-26,1,,,,,,,,,
AL,1986,253,1986-09-10,1,2.1,1425,,,,0,0,99,
AL,1986,253,1986-09-10,1,,,,,,,,,
AL,1986,265,1986-09-22,1,2,1328,1412,15,W,10,3,99,
AL,1986,265,1986-09-22,1,,,,,,,,,
AL,1986,282,1986-10-09,1,2.3,1143,1306,7.5,V,8,2,50,
AL,1986,282,1986-10-09,1,,,,,,,,,
AL,1986,295,1986-10-22,1,2.4,,1020,14,SE,10,5,80,
AL,1986,295,1986-10-22,1,,,,,,,,,
AL,1986,307,1986-11-03,1,2.4,1511,1630,1,N,13,5,99,
AL,1986,307,1986-11-03,1,,,,,,,,,
AL,1987,20,1987-01-20,1,2.5,935,1050,-11.6,W,15,,99,1
AL,1987,20,1987-01-20,1,,,,,,,,,1
AL,1987,55,1987-02-24,1,3.1,1325,1452,3.5,W,2,,99,1
AL,1987,55,1987-02-24,1,,,,,,,,,1
AL,1987,78,1987-03-19,1,4.8,850,1015,4.7,W,18,,10,1
AL,1987,78,1987-03-19,1,,,,,,,,,1
AL,1987,105,1987-04-15,1,2,912,1017,8,W,3,2,99,
AL,1987,105,1987-04-15,1,,,,,,,,,
AL,1987,124,1987-05-04,1,3.6,1115,1227,15,SW,3,2,0,
AL,1987,124,1987-05-04,1,,,,,,,,,
AL,1987,138,1987-05-18,1,4.1,857,1010,,NE,15,6,99,
AL,1987,138,1987-05-18,1,,,,,,,,,
AL,1987,152,1987-06-01,1,3.9,1338,1445,,S,9,4,15,
AL,1987,152,1987-06-01,1,,,,,,,,,
AL,1987,162,1987-06-11,1,3.9,1415,1516,,SW,8,6,99,
AL,1987,162,1987-06-11,1,,,,,,,,,
AL,1987,180,1987-06-29,1,3.6,1317,1401,,N,5,3,85,
AL,1987,180,1987-06-29,1,,,,,,,,,
AL,1987,194,1987-07-13,1,,1333,1445,,N,10,18,95,
AL,1987,194,1987-07-13,1,,,,,,,,,
AL,1987,208,1987-07-27,1,4.1,843,928,,,0,3,10,
AL,1987,208,1987-07-27,1,,,,,,,,,
AL,1987,225,1987-08-13,1,2,1002,1106,,ENE,3,1,99,
AL,1987,225,1987-08-13,1,,,,,,,,,
AL,1987,238,1987-08-26,1,1.5,1252,1335,,E,11,6,50,
AL,1987,238,1987-08-26,1,,,,,,,,,
AL,1987,253,1987-09-10,1,1.6,1441,1544,,SW,8,6,95,
AL,1987,253,1987-09-10,1,,,,,,,,,
AL,1987,264,1987-09-21,1,1.6,1320,1400,,NE,18,8,99,
AL,1987,264,1987-09-21,1,,,,,,,,,
AL,1987,278,1987-10-05,1,1.7,1346,1519,,SW,13,7,99,
AL,1987,278,1987-10-05,1,,,,,,,,,
AL,1987,294,1987-10-21,1,2.5,917,1048,,NNW,8,5,70,
AL,1987,294,1987-10-21,1,,,,,,,,,
AL,1987,309,1987-11-05,1,3,1150,1315,,NW,20,23,80,
AL,1987,309,1987-11-05,1,,,,,,,,,
AL,1987,322,1987-11-18,1,3.1,1430,1517,,SW,15,6,70,
AL,1987,322,1987-11-18,1,,,,,,,,,
AL,1988,11,1988-01-11,1,3.9,1130,1335,,N,1,,99,1
AL,1988,11,1988-01-11,1,,,,,,,,,1
AL,1988,62,1988-03-02,1,3,1440,1550,-4,SE,10,,2,1
AL,1988,62,1988-03-02,1,,,,,,,,,1
AL,1988,81,1988-03-21,1,2.7,1015,1130,-5,NE,10,,5,1
AL,1988,81,1988-03-21,1,,,,,,,,,1
AL,1988,117,1988-04-26,1,2.1,1430,1550,10,NE,7,5,50,
AL,1988,117,1988-04-26,1,,,,,,,,,
AL,1988,130,1988-05-09,1,4.1,1342,1505,15,E,4,3,80,
AL,1988,130,1988-05-09,1,,,,,,,,,
AL,1988,146,1988-05-25,1,4.7,902,1042,15,SW,5,3,5,
AL,1988,146,1988-05-25,1,,,,,,,,,
AL,1988,159,1988-06-07,1,5.4,1306,1420,29,NW,8,3,0,
AL,1988,159,1988-06-07,1,,,,,,,,,
AL,1988,172,1988-06-20,1,5,846,1015,23,NW,8,3,0,
AL,1988,172,1988-06-20,1,,,,,,,,,
AL,1988,186,1988-07-04,1,3.6,855,947,24,S,13,5,5,
AL,1988,186,1988-07-04,1,,,,,,,,,
AL,1988,201,1988-07-19,1,4.2,858,1019,22,W,8,4,30,
AL,1988,201,1988-07-19,1,,,,,,,,,
AL,1988,216,1988-08-03,1,3.1,910,1001,23,W,6,2,40,
AL,1988,216,1988-08-03,1,,,,,,,,,
AL,1988,231,1988-08-18,1,2.1,1329,1437,22,N,8,5,95,
AL,1988,231,1988-08-18,1,,,,,,,,,
AL,1988,243,1988-08-30,1,1.4,1319,1416,20,NW,5,3,45,
AL,1988,243,1988-08-30,1,,,,,,,,,
AL,1988,257,1988-09-13,1,1.4,911,1018,14,W,23,20,10,
AL,1988,257,1988-09-13,1,,,,,,,,,
AL,1988,272,1988-09-28,1,1.3,1253,1340,,NE,20,13,99,
AL,1988,272,1988-09-28,1,,,,,,,,,
AL,1988,286,1988-10-12,1,3,1424,1546,7,W,10,4,5,
AL,1988,286,1988-10-12,1,,,,,,,,,
AL,1988,299,1988-10-25,1,3.3,1000,1105,1,NW,20,15,99,
AL,1988,299,1988-10-25,1,,,,,,,,,
AL,1988,307,1988-11-02,1,4.9,837,1110,-1,E,4,4,30,
AL,1988,307,1988-11-02,1,,,,,,,,,
AL,1989,11,1989-01-11,1,4.3,1150,1315,-4,N,20,,100,1
AL,1989,11,1989-01-11,1,,,,,,,,,1
AL,1989,65,1989-03-06,1,3.1,1045,1150,-8,E,5,,5,1
AL,1989,65,1989-03-06,1,,,,,,,,,1
AL,1989,86,1989-03-27,1,,1210,1315,13,E,15,,100,1
AL,1989,121,1989-05-01,1,1.9,1341,1442,12,N,6,3,100,
AL,1989,121,1989-05-01,1,,,,,,,,,
AL,1989,136,1989-05-16,1,4.1,1211,1325,26,W,3,2,5,
AL,1989,136,1989-05-16,1,,,,,,,,,
AL,1989,149,1989-05-29,1,5,1455,1547,17.5,W,3,2,60,
AL,1989,149,1989-05-29,1,,,,,,,,,
AL,1989,164,1989-06-13,1,3.5,900,958,13,SE,4,6,100,
AL,1989,164,1989-06-13,1,,,,,,,,,
AL,1989,179,1989-06-28,1,3.2,1400,1510,19,NE,8,3,0,
AL,1989,179,1989-06-28,1,,,,,,,,,
AL,1989,193,1989-07-12,1,3.6,835,932,20.5,N,3,1,100,
AL,1989,193,1989-07-12,1,,,,,,,,,
AL,1989,206,1989-07-25,1,3.8,855,956,26,SW,3,2,1,
AL,1989,206,1989-07-25,1,,,,,,,,,
AL,1989,219,1989-08-07,1,2.5,1247,1333,19.5,NW,15,13,20,
AL,1989,219,1989-08-07,1,,,,,,,,,
AL,1989,234,1989-08-22,1,2.2,1220,1325,23.5,W,10,13,80,
AL,1989,234,1989-08-22,1,,,,,,,,,
AL,1989,249,1989-09-06,1,1.7,838,920,20.5,,0,2,0,
AL,1989,249,1989-09-06,1,,,,,,,,,
AL,1989,262,1989-09-19,1,1.7,1201,1303,21,S,15,7,70,
AL,1989,262,1989-09-19,1,,,,,,,,,
AL,1989,277,1989-10-04,1,2.7,1215,1315,12,W,10,13,0,
AL,1989,277,1989-10-04,1,,,,,,,,,
AL,1989,291,1989-10-18,1,3.3,1159,1320,4,NW,10,4,80,
AL,1989,291,1989-10-18,1,,,,,,,,,
AL,1989,304,1989-10-31,1,3,841,949,4,NW,10,20,100,
AL,1989,304,1989-10-31,1,,,,,,,,,
AL,1989,313,1989-11-09,1,2.7,938,1044,1.5,W,10,13,100,
AL,1989,313,1989-11-09,1,,,,,,,,,
AL,1990,24,1990-01-24,1,3.2,1010,1128,0,SW,8,,100,1
AL,1990,24,1990-01-24,1,,,,,,,,,1
AL,1990,58,1990-02-27,1,3,1040,1210,-8,W,18,,10,1
AL,1990,58,1990-02-27,1,,,,,,,,,1
AL,1990,86,1990-03-27,1,4.1,925,1010,2,E,6,,5,1
AL,1990,86,1990-03-27,1,,,,,,,,,1
AL,1990,120,1990-04-30,1,2.4,850,1010,7,W,8,7,5,
AL,1990,120,1990-04-30,1,,,,,,,,,
AL,1990,137,1990-05-17,1,5.3,932,1034,11,SW,14,11,95,
AL,1990,137,1990-05-17,1,,,,,,,,,
AL,1990,150,1990-05-30,1,5.9,850,1014,16,WSW,3,2,0,
AL,1990,150,1990-05-30,1,,,,,,,,,
AL,1990,164,1990-06-13,1,4,852,950,20.2,SW,8,2,95,
AL,1990,178,1990-06-27,1,3.2,845,1025,22.5,S,8,2,95,
AL,1990,178,1990-06-27,1,,,,,,,,,
AL,1990,190,1990-07-09,1,3.1,1208,1305,26.5,NW,18,7,60,
AL,1990,205,1990-07-24,1,3.3,1202,1310,27,SW,8,4,45,
AL,1990,205,1990-07-24,1,,,,,,,,,
AL,1990,220,1990-08-08,1,2.5,1058,1153,23,W,18,7,40,
AL,1990,220,1990-08-08,1,,,,,,,,,
AL,1990,234,1990-08-22,1,2.2,1227,1341,25.5,W,3,1,1,
AL,1990,234,1990-08-22,1,,,,,,,,,
AL,1990,247,1990-09-04,1,1.9,1225,1332,26,SW,8,4,95,
AL,1990,247,1990-09-04,1,,,,,,,,,
AL,1990,261,1990-09-18,1,1.8,1325,1426,14,S,8,3,100,
AL,1990,261,1990-09-18,1,,,,,,,,,
AL,1990,276,1990-10-03,1,2,1155,1305,18,S,25,11,100,
AL,1990,276,1990-10-03,1,,,,,,,,,
AL,1990,290,1990-10-17,1,2.1,932,1050,10,E,13,3,100,
AL,1990,290,1990-10-17,1,,,,,,,,,
AL,1990,304,1990-10-31,1,1.1,1200,1316,15,S,8,3,5,
AL,1990,304,1990-10-31,1,,,,,,,,,
AL,1990,313,1990-11-09,1,1.2,919,1049,2,SW,10,4,100,
AL,1990,313,1990-11-09,1,,,,,,,,,
AL,1991,17,1991-01-17,1,3,940,1045,-2,W,13,,95,1
AL,1991,17,1991-01-17,1,,,,,,,,,1
AL,1991,50,1991-02-19,1,3.8,1305,1410,-1,W,5,,100,1
AL,1991,50,1991-02-19,1,,,,,,,,,1
AL,1991,84,1991-03-25,1,3.6,1010,1230,7,S,10,,5,1
AL,1991,84,1991-03-25,1,,,,,,,,,1
AL,1991,127,1991-05-07,1,2,921,1108,9,NW,8,10,80,
AL,1991,127,1991-05-07,1,,,,,,,,,
AL,1991,141,1991-05-21,1,5.7,849,1054,24,S,3,1,100,
AL,1991,141,1991-05-21,1,,,,,,,,,
AL,1991,155,1991-06-04,1,2.6,1458,1529,22,NW,3,3,0,
AL,1991,155,1991-06-04,1,,,,,,,,,
AL,1991,169,1991-06-18,1,3.6,1219,1340,28,SW,6,3,60,
AL,1991,169,1991-06-18,1,,,,,,,,,
AL,1991,184,1991-07-03,1,3.1,1250,1415,26,SW,8,3,95,
AL,1991,184,1991-07-03,1,,,,,,,,,
AL,1991,196,1991-07-15,1,2.7,1206,1314,26,SW,13,8,10,
AL,1991,196,1991-07-15,1,,,,,,,,,
AL,1991,211,1991-07-30,1,2.8,1223,1346,22,W,7,3,10,
AL,1991,211,1991-07-30,1,,,,,,,,,
AL,1991,225,1991-08-13,1,3.5,803,902,21,,0,0,15,
AL,1991,225,1991-08-13,1,,,,,,,,,
AL,1991,239,1991-08-27,1,2.8,829,951,24,S,8,3,0,
AL,1991,239,1991-08-27,1,,,,,,,,,
AL,1991,253,1991-09-10,1,2.4,826,939,17,NW,10,10,100,
AL,1991,253,1991-09-10,1,,,,,,,,,
AL,1991,266,1991-09-23,1,1.4,1326,1418,12,NW,15,20,40,
AL,1991,266,1991-09-23,1,,,,,,,,,
AL,1991,282,1991-10-09,1,2.2,1228,1316,15,W,15,18,25,
AL,1991,282,1991-10-09,1,,,,,,,,,
AL,1991,301,1991-10-28,1,2.7,844,945,9,E,13,10,100,
AL,1991,301,1991-10-28,1,,,,,,,,,
AL,1992,17,1992-01-17,1,3.2,1100,1235,-15,NW,15,,10,1
AL,1992,17,1992-01-17,1,,,,,,,,,1
AL,1992,64,1992-03-04,1,3.1,1450,1600,4,,0,,100,1
AL,1992,64,1992-03-04,1,,,,,,,,,1
AL,1992,83,1992-03-23,1,2.4,1430,,7,,0,,25,1
AL,1992,83,1992-03-23,1,,,,,,,,,1
AL,1992,126,1992-05-05,1,1.2,940,1105,11,N,4,5,0,
AL,1992,126,1992-05-05,1,,,,,,,,,
AL,1992,139,1992-05-18,1,3.3,930,1049,17,SW,2,2,0,
AL,1992,153,1992-06-01,1,3.7,908,1028,22,E,3,3,15,
AL,1992,153,1992-06-01,1,,,,,,,,,
AL,1992,171,1992-06-19,1,2.7,905,953,13,N,4,2,75,
AL,1992,189,1992-07-07,1,2.1,1320,1430,22,W,8,7,95,
AL,1992,189,1992-07-07,1,,,,,,,,,
AL,1992,197,1992-07-15,1,2.7,1105,1200,22,SW,2,4,50,
AL,1992,211,1992-07-29,1,2.8,1358,1456,22,W,4,4,30,
AL,1992,211,1992-07-29,1,,,,,,,,,
AL,1992,225,1992-08-12,1,2.3,1400,1500,18.5,E,3,1,95,
AL,1992,225,1992-08-12,1,,,,,,,,,
AL,1992,239,1992-08-26,1,3.4,927,1100,14.5,N,3,8,95,
AL,1992,239,1992-08-26,1,,,,,,,,,
AL,1992,255,1992-09-11,1,1.6,1415,1525,19.2,SW,5,5,5,
AL,1992,255,1992-09-11,1,,,,,,,,,
AL,1992,265,1992-09-21,1,1.4,930,1046,16,W,8,5,100,
AL,1992,265,1992-09-21,1,,,,,,,,,
AL,1992,280,1992-10-06,1,2.1,1340,1437,14,N,3,5,100,
AL,1992,280,1992-10-06,1,,,,,,,,,
AL,1992,295,1992-10-21,1,2.9,916,1040,6,SW,5,0,100,
AL,1992,295,1992-10-21,1,,,,,,,,,
AL,1992,311,1992-11-06,1,3,942,1155,-5,W,5,8,90,
AL,1992,311,1992-11-06,1,,,,,,,,,
AL,1993,8,1993-01-08,1,2.9,1305,1445,-7.5,NW,3,,45,1
AL,1993,8,1993-01-08,1,,,,,,,,,1
AL,1993,54,1993-02-23,1,2.5,1030,1215,1,SW,3,,80,1
AL,1993,54,1993-02-23,1,,,,,,,,,1
AL,1993,82,1993-03-23,1,3.1,1500,1630,11.8,NW,7,,0,1
AL,1993,82,1993-03-23,1,,,,,,,,,1
AL,1993,123,1993-05-03,1,1.7,1034,1153,12.5,N,3,5,100,
AL,1993,123,1993-05-03,1,,,,,,,,,
AL,1993,137,1993-05-17,1,2.6,922,1006,17,SW,4,7,20,
AL,1993,137,1993-05-17,1,,,,,,,,,
AL,1993,155,1993-06-04,1,4.5,1000,1125,18,N,5,5,10,
AL,1993,155,1993-06-04,1,,,,,,,,,
AL,1993,167,1993-06-16,1,4.4,1354,1520,11.3,NW,15,10,100,
AL,1993,167,1993-06-16,1,,,,,,,,,
AL,1993,181,1993-06-30,1,3.2,1341,1544,23.4,ENE,12,58,50,
AL,1993,181,1993-06-30,1,,,,,,,,,
AL,1993,193,1993-07-12,1,4.1,815,945,20.8,NNW,18,13,30,
AL,1993,193,1993-07-12,1,,,,,,,,,
AL,1993,207,1993-07-26,1,3.2,930,1125,21.1,W,23,25,100,
AL,1993,207,1993-07-26,1,,,,,,,,,
AL,1993,223,1993-08-11,1,3.8,1235,1400,32.4,SW,5,3,5,
AL,1993,223,1993-08-11,1,,,,,,,,,
AL,1993,238,1993-08-26,1,3.7,916,1100,28.9,SE,5,3,60,
AL,1993,238,1993-08-26,1,,,,,,,,,
AL,1993,252,1993-09-09,1,1.6,902,1007,11.1,NW,20,35,98,
AL,1993,252,1993-09-09,1,,,,,,,,,
AL,1993,265,1993-09-22,1,2,920,1046,14,NE,5,3,100,
AL,1993,265,1993-09-22,1,,,,,,,,,
AL,1993,277,1993-10-04,1,2,1402,1516,10.5,NW,15,30,60,
AL,1993,277,1993-10-04,1,,,,,,,,,
AL,1993,294,1993-10-21,1,2.9,925,1100,3,W,30,50,100,
AL,1993,294,1993-10-21,1,,,,,,,,,
AL,1993,307,1993-11-03,1,2.8,1030,1209,9,SW,5,3,10,
AL,1993,307,1993-11-03,1,,,,,,,,,
AL,1994,10,1994-01-10,1,2.5,1155,1310,-2.5,S,5,,100,1
AL,1994,10,1994-01-10,1,,,,,,,,,1
AL,1994,53,1994-02-22,1,4.2,1220,1350,-6,N,13,,10,1
AL,1994,53,1994-02-22,1,,,,,,,,,1
AL,1994,88,1994-03-29,1,1.8,1300,1500,0,N,4,,100,1
AL,1994,88,1994-03-29,1,,,,,,,,,1
AL,1994,123,1994-05-03,1,1.9,1010,1132,14,SW,15,5,70,
AL,1994,123,1994-05-03,1,,,,,,,,,
AL,1994,140,1994-05-20,1,3.3,1010,1108,24,,0,0,5,
AL,1994,140,1994-05-20,1,,,,,,,,,
AL,1994,157,1994-06-06,1,4.2,905,1003,21,W,11,11,35,
AL,1994,157,1994-06-06,1,,,,,,,,,
AL,1994,164,1994-06-13,1,4.2,928,1050,21,W,1,1,45,
AL,1994,164,1994-06-13,1,,,,,,,,,
AL,1994,178,1994-06-27,1,3.4,925,1116,27,S,8,5,40,
AL,1994,178,1994-06-27,1,,,,,,,,,
AL,1994,193,1994-07-12,1,2.5,916,1012,21.5,NW,8,7,10,
AL,1994,193,1994-07-12,1,,,,,,,,,
AL,1994,208,1994-07-27,1,2,1158,1257,23,N,13,11,60,
AL,1994,208,1994-07-27,1,,,,,,,,,
AL,1994,220,1994-08-08,1,1.7,1243,1330,15,N,15,10,100,
AL,1994,220,1994-08-08,1,,,,,,,,,
AL,1994,237,1994-08-25,1,,1422,1515,27,S,4,1,40,
AL,1994,237,1994-08-25,1,,,,,,,,,
AL,1994,252,1994-09-09,1,1.3,1044,1130,25,S,3,2,5,
AL,1994,252,1994-09-09,1,,,,,,,,,
AL,1994,264,1994-09-21,1,1.5,1425,1550,20,SSW,5,5,65,
AL,1994,264,1994-09-21,1,,,,,,,,,
AL,1994,278,1994-10-05,1,1.5,1330,1430,13,SW,10,6,85,
AL,1994,290,1994-10-17,1,1.6,900,1030,14,E,5,4,100,
AL,1994,290,1994-10-17,1,,,,,,,,,
