lakeid,year4,site,rep,taxon_code,description,number_indiv,flag
SP,1981,24,3,OLIGO,Oligochaeta ,12,
SP,1981,24,3,CHIRO,Chironomidae,48,
SP,1982,24,1,PHRYA,Phryganeidae,1,
SP,1982,24,1,PELEC,Pelecypoda,2,
SP,1982,24,1,OSTRA,Ostracoda,21,
SP,1982,24,1,COENA,Coenagrionidae,2,
SP,1982,24,1,NECTO,Nectopsyche ,1,
SP,1982,24,1,PLANA,Planaria,2,
SP,1982,24,1,BASIA,Basiaeschna,1,
SP,1982,24,1,HYDRC,Hydracarina,12,
SP,1982,24,1,PARAL,Paraleptophlebia,73,
SP,1982,24,1,STENO,Stenonema,3,
SP,1982,24,1,HIRUD,Hirudinea,1,
SP,1982,24,1,HYALE,Hyalella,30,
SP,1982,24,1,OLIGO,Oligochaeta ,4,
SP,1982,24,1,DUBIR,Dubiraphia,1,
SP,1982,24,1,CHIRO,Chironomidae,64,
SP,1982,24,2,POLYC,Polycentropus,1,
SP,1982,24,2,PELEC,Pelecypoda,1,
SP,1982,24,2,TRAME,Tramea,1,
SP,1982,24,2,ENALL,Enallagma,3,
SP,1982,24,2,OECET,Oecetis,1,
SP,1982,24,2,OSTRA,Ostracoda,15,
SP,1982,24,2,PARAL,Paraleptophlebia,89,
SP,1982,24,2,HYDRC,Hydracarina,3,
SP,1982,24,2,EPHEM,Ephemeroptera,2,
SP,1982,24,2,STENO,Stenonema,3,
SP,1982,24,2,HYALE,Hyalella,32,
SP,1982,24,2,OLIGO,Oligochaeta ,13,
SP,1982,24,2,DUBIR,Dubiraphia,1,
SP,1982,24,2,CHIRO,Chironomidae,57,
SP,1983,24,1,OECET,Oecetis,3,
SP,1983,24,1,TRIAE,Triaenodes,4,
SP,1983,24,1,MYSTA,Mystacides,2,
SP,1983,24,1,NECTO,Nectopsyche ,1,
SP,1983,24,1,PLANA,Planaria,14,
SP,1983,24,1,CERAC,Ceraclea,1,
SP,1983,24,1,PELEC,Pelecypoda,1,
SP,1983,24,1,OSTRA,Ostracoda,18,
SP,1983,24,1,ENALL,Enallagma,6,
SP,1983,24,1,BAETI,Baetidae,1,
SP,1983,24,1,HYDRC,Hydracarina,10,
SP,1983,24,1,PARAL,Paraleptophlebia,73,
SP,1983,24,1,STENO,Stenonema,2,
SP,1983,24,1,BRANC,Branchiobdellida,2,
SP,1983,24,1,HYALE,Hyalella,47,
SP,1983,24,1,OLIGO,Oligochaeta ,12,
SP,1983,24,1,DUBIR,Dubiraphia,2,
SP,1983,24,1,CHIRO,Chironomidae,111,
SP,1983,24,2,POLYC,Polycentropus,1,
SP,1983,24,2,OECET,Oecetis,2,
SP,1983,24,2,TRIAE,Triaenodes,4,
SP,1983,24,2,MYSTA,Mystacides,3,
SP,1983,24,2,NECTO,Nectopsyche ,1,
SP,1983,24,2,PLANA,Planaria,7,
SP,1983,24,2,COENA,Coenagrionidae,2,
SP,1983,24,2,ENALL,Enallagma,5,
SP,1983,24,2,OSTRA,Ostracoda,3,
SP,1983,24,2,EPHEM,Ephemeroptera,1,
SP,1983,24,2,HYALE,Hyalella,36,
SP,1983,24,2,HYDRC,Hydracarina,3,
SP,1983,24,2,HALAC,Halacaridae,1,
SP,1983,24,2,PARAL,Paraleptophlebia,86,
SP,1983,24,2,STENO,Stenonema,1,
SP,1983,24,2,BRANC,Branchiobdellida,4,
SP,1983,24,2,OLIGO,Oligochaeta ,6,
SP,1983,24,2,DUBIR,Dubiraphia,1,
SP,1983,24,2,COLLE,Collembola,1,
SP,1983,24,2,CHIRO,Chironomidae,76,
SP,1983,24,3,POLYC,Polycentropus,2,
SP,1983,24,3,TRIAE,Triaenodes,1,
SP,1983,24,3,PELEC,Pelecypoda,2,
SP,1983,24,3,COENA,Coenagrionidae,1,
SP,1983,24,3,EPITH,Epitheca,2,
SP,1983,24,3,BAETI,Baetidae,1,
SP,1983,24,3,CAENI,Caenis,2,
SP,1983,24,3,OSTRA,Ostracoda,6,
SP,1983,24,3,ENALL,Enallagma,6,
SP,1983,24,3,HYDRC,Hydracarina,1,
SP,1983,24,3,PARAL,Paraleptophlebia,72,
SP,1983,24,3,EPHEM,Ephemeroptera,1,
SP,1983,24,3,STENO,Stenonema,2,
SP,1983,24,3,HYALE,Hyalella,22,
SP,1983,24,3,HIRUD,Hirudinea,2,
SP,1983,24,3,OLIGO,Oligochaeta ,6,
SP,1983,24,3,CHIRO,Chironomidae,117,
SP,1984,24,1,POLYC,Polycentropus,1,
SP,1984,24,1,NECTO,Nectopsyche ,1,
SP,1984,24,1,OECET,Oecetis,1,
SP,1984,24,1,PLANA,Planaria,3,
SP,1984,24,1,OSTRA,Ostracoda,10,
SP,1984,24,1,EPITH,Epitheca,1,
SP,1984,24,1,ENALL,Enallagma,2,
SP,1984,24,1,CHIRO,Chironomidae,105,
SP,1984,24,1,HYDRC,Hydracarina,5,
SP,1984,24,1,HALAC,Halacaridae,1,
SP,1984,24,1,EPHEM,Ephemeroptera,1,
SP,1984,24,1,PARAL,Paraleptophlebia,55,
SP,1984,24,1,STENO,Stenonema,3,
SP,1984,24,1,HYALE,Hyalella,56,
SP,1984,24,1,OLIGO,Oligochaeta ,9,
SP,1984,24,2,TRIAE,Triaenodes,8,
SP,1984,24,2,MYSTA,Mystacides,1,
SP,1984,24,2,PLANA,Planaria,5,
SP,1984,24,2,OSTRA,Ostracoda,4,
SP,1984,24,2,ENALL,Enallagma,3,
SP,1984,24,2,HYDRC,Hydracarina,13,
SP,1984,24,2,CAENI,Caenis,1,
SP,1984,24,2,PARAL,Paraleptophlebia,63,
SP,1984,24,2,STENO,Stenonema,2,
SP,1984,24,2,HYALE,Hyalella,75,
SP,1984,24,2,OLIGO,Oligochaeta ,4,
SP,1984,24,2,CHIRO,Chironomidae,81,
SP,1984,24,3,POLYC,Polycentropus,1,
SP,1984,24,3,LEPTO,Leptoceridae,1,
SP,1984,24,3,PLANA,Planaria,6,
SP,1984,24,3,PELEC,Pelecypoda,1,
SP,1984,24,3,OSTRA,Ostracoda,5,
SP,1984,24,3,ENALL,Enallagma,1,
SP,1984,24,3,OLIGO,Oligochaeta ,16,
SP,1984,24,3,HYDRC,Hydracarina,6,
SP,1984,24,3,HALAC,Halacaridae,2,
SP,1984,24,3,PARAL,Paraleptophlebia,45,
SP,1984,24,3,STENO,Stenonema,2,
SP,1984,24,3,CAENI,Caenis,3,
SP,1984,24,3,HYALE,Hyalella,48,
SP,1984,24,3,DUBIR,Dubiraphia,1,
SP,1984,24,3,CHIRO,Chironomidae,100,
SP,1985,24,1,NECTO,Nectopsyche ,2,
SP,1985,24,1,SYMPE,Sympetrum,1,
SP,1985,24,1,ENALL,Enallagma,1,
SP,1985,24,1,CAENI,Caenis,1,
SP,1985,24,1,PLANA,Planaria,5,
SP,1985,24,1,OSTRA,Ostracoda,18,
SP,1985,24,1,HALAC,Halacaridae,2,
SP,1985,24,1,HYDRC,Hydracarina,2,
SP,1985,24,1,PARAL,Paraleptophlebia,55,
SP,1985,24,1,STENO,Stenonema,3,
SP,1985,24,1,HYALE,Hyalella,36,
SP,1985,24,1,OLIGO,Oligochaeta ,1,
SP,1985,24,1,CERAT,Ceratopogonidae,1,
SP,1985,24,1,CHIRO,Chironomidae,282,
SP,1985,24,2,PLANA,Planaria,3,
SP,1985,24,2,OSTRA,Ostracoda,23,
SP,1985,24,2,ENALL,Enallagma,5,
SP,1985,24,2,CHIRO,Chironomidae,379,
SP,1985,24,2,CAENI,Caenis,1,
SP,1985,24,2,HYDRC,Hydracarina,2,
SP,1985,24,2,CERAT,Ceratopogonidae,6,
SP,1985,24,2,PARAL,Paraleptophlebia,54,
SP,1985,24,2,STENO,Stenonema,4,
SP,1985,24,2,HYALE,Hyalella,39,
SP,1985,24,2,OLIGO,Oligochaeta ,7,
SP,1985,24,3,PARAN,Paranyctiophylax,1,
SP,1985,24,3,SYMPE,Sympetrum,1,
SP,1985,24,3,EPITH,Epitheca,2,
SP,1985,24,3,CHIRO,Chironomidae,427,
SP,1985,24,3,CAENI,Caenis,2,
SP,1985,24,3,PLANA,Planaria,10,
SP,1985,24,3,OSTRA,Ostracoda,8,
SP,1985,24,3,ENALL,Enallagma,3,
SP,1985,24,3,EPHED,Ephemerellidae,1,
SP,1985,24,3,HYDRC,Hydracarina,3,
SP,1985,24,3,HALAC,Halacaridae,1,
SP,1985,24,3,AMNIC,Amnicola,3,
SP,1985,24,3,EPHEM,Ephemeroptera,1,
SP,1985,24,3,PARAL,Paraleptophlebia,55,
SP,1985,24,3,STENO,Stenonema,2,
SP,1985,24,3,TIMPA,Timpagoga,1,
SP,1985,24,3,HYALE,Hyalella,46,
SP,1985,24,3,OLIGO,Oligochaeta ,5,
SP,1987,24,1,OSTRA,Ostracoda,1,
SP,1987,24,1,ENALL,Enallagma,2,
SP,1987,24,1,HALAC,Halacaridae,1,
SP,1987,24,1,BOYER,Boyeria,1,
SP,1987,24,1,HYDRC,Hydracarina,6,
SP,1987,24,1,EPHEM,Ephemeroptera,2,
SP,1987,24,1,STENO,Stenonema,8,
SP,1987,24,1,PARAL,Paraleptophlebia,1,
SP,1987,24,1,EPHED,Ephemerellidae,1,
SP,1987,24,1,CAENI,Caenis,19,
SP,1987,24,1,HYALE,Hyalella,37,
SP,1987,24,1,OLIGO,Oligochaeta ,3,
SP,1987,24,1,STENE,Stenelmis,12,
SP,1987,24,1,CERAT,Ceratopogonidae,2,
SP,1987,24,1,CHIRO,Chironomidae,44,
SP,1987,24,2,OXYTH,Oxyethira,1,
SP,1987,24,2,PLANA,Planaria,2,
SP,1987,24,2,OSTRA,Ostracoda,21,
SP,1987,24,2,HAGEN,Hagenius,3,
SP,1987,24,2,DROMO,Dromogomphus,1,
SP,1987,24,2,NEMER,Nemertea,1,
SP,1987,24,2,ENALL,Enallagma,8,
SP,1987,24,2,EPHEM,Ephemeroptera,1,
SP,1987,24,2,PARAL,Paraleptophlebia,1,
SP,1987,24,2,HYDRC,Hydracarina,17,
SP,1987,24,2,HALAC,Halacaridae,2,
SP,1987,24,2,STENO,Stenonema,1,
SP,1987,24,2,EPHED,Ephemerellidae,1,
SP,1987,24,2,CAENI,Caenis,33,
SP,1987,24,2,HYALE,Hyalella,35,
SP,1987,24,2,OLIGO,Oligochaeta ,3,
SP,1987,24,2,DUBIR,Dubiraphia,2,
SP,1987,24,2,CERAT,Ceratopogonidae,4,
SP,1987,24,2,CHIRO,Chironomidae,126,
SP,1987,24,3,TRIAE,Triaenodes,1,
SP,1987,24,3,OSTRA,Ostracoda,7,
SP,1987,24,3,EPITH,Epitheca,1,
SP,1987,24,3,ENALL,Enallagma,2,
SP,1987,24,3,NEMER,Nemertea,1,
SP,1987,24,3,HYDRC,Hydracarina,10,
SP,1987,24,3,HALAC,Halacaridae,7,
SP,1987,24,3,EPHEM,Ephemeroptera,3,
SP,1987,24,3,PARAL,Paraleptophlebia,2,
SP,1987,24,3,STENO,Stenonema,2,
SP,1987,24,3,CAENI,Caenis,33,
SP,1987,24,3,HYALE,Hyalella,104,
SP,1987,24,3,OLIGO,Oligochaeta ,23,
SP,1987,24,3,DUBIR,Dubiraphia,1,
SP,1987,24,3,CERAT,Ceratopogonidae,1,
SP,1987,24,3,CHIRO,Chironomidae,125,
SP,1988,24,1,ORBIT,Oribatei,6,
SP,1988,24,1,NEURO,Neurocordulia,1,
SP,1988,24,1,ENALL,Enallagma,3,
SP,1988,24,1,AESHN,Aeshnidae,1,
SP,1988,24,1,NEMER,Nemertea,14,
SP,1988,24,1,OSTRA,Ostracoda,20,
SP,1988,24,1,HYDRC,Hydracarina,19,
SP,1988,24,1,HALAC,Halacaridae,21,
SP,1988,24,1,BOYER,Boyeria,1,
SP,1988,24,1,EPHEM,Ephemeroptera,1,
SP,1988,24,1,CAENI,Caenis,3,
SP,1988,24,1,HYALE,Hyalella,2,
SP,1988,24,1,OLIGO,Oligochaeta ,1,
SP,1988,24,1,DUBIR,Dubiraphia,3,
SP,1988,24,1,CHIRO,Chironomidae,13,
SP,1988,24,2,ORBIT,Oribatei,1,
SP,1988,24,2,OSTRA,Ostracoda,6,
SP,1988,24,2,ENALL,Enallagma,8,
SP,1988,24,2,BOYER,Boyeria,2,
SP,1988,24,2,CAENI,Caenis,5,
SP,1988,24,2,HYDRC,Hydracarina,4,
SP,1988,24,2,HALAC,Halacaridae,3,
SP,1988,24,2,EPHED,Ephemerellidae,1,
SP,1988,24,2,HYALE,Hyalella,8,
SP,1988,24,2,OLIGO,Oligochaeta ,1,
SP,1988,24,2,CHIRO,Chironomidae,23,
SP,1988,24,3,PLANA,Planaria,14,
SP,1988,24,3,OSTRA,Ostracoda,63,
SP,1988,24,3,PELEC,Pelecypoda,2,
SP,1988,24,3,ORBIT,Oribatei,25,
SP,1988,24,3,ENALL,Enallagma,1,
SP,1988,24,3,NEMER,Nemertea,9,
SP,1988,24,3,EPHED,Ephemerellidae,1,
SP,1988,24,3,CHIRO,Chironomidae,24,
SP,1988,24,3,HYDRC,Hydracarina,22,
SP,1988,24,3,HALAC,Halacaridae,18,
SP,1988,24,3,CAENI,Caenis,5,
SP,1988,24,3,HYALE,Hyalella,123,
SP,1988,24,3,OLIGO,Oligochaeta ,4,
SP,1988,24,3,DUBIR,Dubiraphia,5,
SP,1988,24,3,STENE,Stenelmis,1,
SP,1989,24,1,OSTRA,Ostracoda,94,
SP,1989,24,1,PELEC,Pelecypoda,3,
SP,1989,24,1,PLANA,Planaria,1,
SP,1989,24,1,EPITH,Epitheca,1,
SP,1989,24,1,ENALL,Enallagma,5,
SP,1989,24,1,NEMER,Nemertea,18,
SP,1989,24,1,BAETI,Baetidae,2,
SP,1989,24,1,ORBIT,Oribatei,15,
SP,1989,24,1,CAENI,Caenis,7,
SP,1989,24,1,HYDRC,Hydracarina,12,
SP,1989,24,1,HALAC,Halacaridae,8,
SP,1989,24,1,EPHED,Ephemerellidae,1,
SP,1989,24,1,OLIGO,Oligochaeta ,21,
SP,1989,24,1,DUBIR,Dubiraphia,2,
SP,1989,24,1,COLEO,Coleoptera,1,
SP,1989,24,1,CERAT,Ceratopogonidae,1,
SP,1989,24,1,CHIRO,Chironomidae,288,
SP,1989,24,2,OSTRA,Ostracoda,50,
SP,1989,24,2,PELEC,Pelecypoda,3,
SP,1989,24,2,ODONA,Odonata,1,
SP,1989,24,2,ORBIT,Oribatei,6,
SP,1989,24,2,ENALL,Enallagma,8,
SP,1989,24,2,PLANA,Planaria,1,
SP,1989,24,2,NEMER,Nemertea,19,
SP,1989,24,2,CERAT,Ceratopogonidae,2,
SP,1989,24,2,BOYER,Boyeria,1,
SP,1989,24,2,HYDRC,Hydracarina,4,
SP,1989,24,2,HALAC,Halacaridae,7,
SP,1989,24,2,AMNIC,Amnicola,8,
SP,1989,24,2,OLIGO,Oligochaeta ,11,
SP,1989,24,2,CHIRO,Chironomidae,196,
SP,1989,24,3,OECET,Oecetis,1,
SP,1989,24,3,OSTRA,Ostracoda,60,
SP,1989,24,3,ORBIT,Oribatei,5,
