lakeid,year4,sampledate,taxon,species_code,density,avg_length,comments
KE,1976,1976-06-10,ACANTHOCYCLOPS VERNALIS,20101,43000,,
KE,1976,1976-06-10,AGLAODIAPTOMUS CLAVIPES,30901,43000,,
KE,1976,1976-06-10,BOSMINA LONGIROSTRIS,50701,10000,,
KE,1976,1976-06-10,CALANOIDA COPEPODITES,30000,327000,,
KE,1976,1976-06-10,CHYDORUS SPHAERICUS,51005,62000,,
KE,1976,1976-06-10,CONOCHILUS UNICORNIS,60902,24000,,
KE,1976,1976-06-10,COPEPOD NAUPLII,10000,34000,,
KE,1976,1976-06-10,DAPHNIA MENDOTAE,51103,10000,1.4,
KE,1976,1976-06-10,DAPHNIA MENDOTAE JUVENILE,51103,26000,0.99,
KE,1976,1976-06-10,DAPHNIA PULICARIA,51130,102000,1.58,
KE,1976,1976-06-10,DAPHNIA PULICARIA JUVENILE,51130,177000,1.05,
KE,1976,1976-06-10,DIACYCLOPS THOMASI,20302,5000,,
KE,1976,1976-06-10,KERATELLA COCHLEARIS,61801,5000,,
KE,1976,1976-06-10,KERATELLA QUADRATA,61806,43000,,
KE,1976,1976-06-10,LEPTODIAPTOMUS SICILOIDES,30404,43000,,
KE,1976,1976-06-10,MESOCYCLOPS EDAX,20601,24000,,
KE,1976,1976-07-07,ACANTHOCYCLOPS VERNALIS,20101,234000,,
KE,1976,1976-07-07,AGLAODIAPTOMUS CLAVIPES,30901,51000,,
KE,1976,1976-07-07,CALANOIDA COPEPODITES,30000,285000,,
KE,1976,1976-07-07,CONOCHILUS UNICORNIS,60902,6982000,,
KE,1976,1976-07-07,COPEPOD NAUPLII,10000,41000,,
KE,1976,1976-07-07,DAPHNIA PULICARIA,51130,184000,1.8,
KE,1976,1976-07-07,DAPHNIA PULICARIA JUVENILE,51130,63000,0.9,
KE,1976,1976-07-07,LEPTODIAPTOMUS SICILOIDES,30404,153000,,
KE,1976,1976-07-07,LEPTODORA KINDTI,52301,56,,
KE,1976,1976-07-07,MESOCYCLOPS EDAX,20601,15000,,
KE,1976,1976-08-03,ACANTHOCYCLOPS VERNALIS,20101,55000,,
KE,1976,1976-08-03,AGLAODIAPTOMUS CLAVIPES,30901,27000,,
KE,1976,1976-08-03,CALANOIDA COPEPODITES,30000,340000,,
KE,1976,1976-08-03,CONOCHILUS UNICORNIS,60902,4763000,,
KE,1976,1976-08-03,DAPHNIA MENDOTAE,51103,12000,1.92,
KE,1976,1976-08-03,DAPHNIA MENDOTAE JUVENILE,51103,23000,0.93,
KE,1976,1976-08-03,DAPHNIA PULICARIA,51130,44000,1.71,
KE,1976,1976-08-03,DAPHNIA PULICARIA JUVENILE,51130,38000,0.9,
KE,1976,1976-08-03,DIAPHANOSOMA BIRGEI,51202,35000,1.02,
KE,1976,1976-08-03,DIAPHANOSOMA BIRGEI JUVENILE,51202,23000,0.71,
KE,1976,1976-08-03,LEPTODIAPTOMUS SICILOIDES,30404,66000,,
KE,1976,1976-08-03,LEPTODORA KINDTI,52301,56,,
KE,1976,1976-08-31,ACANTHOCYCLOPS VERNALIS,20101,77000,0.81,
KE,1976,1976-08-31,AGLAODIAPTOMUS CLAVIPES,30901,10000,1.74,
KE,1976,1976-08-31,CALANOIDA COPEPODITES,30000,370000,0.84,
KE,1976,1976-08-31,CONOCHILOIDES NATANS,60802,10000,,
KE,1976,1976-08-31,CONOCHILUS UNICORNIS,60902,149000,0.11,
KE,1976,1976-08-31,COPEPOD NAUPLII,10000,838000,0.17,
KE,1976,1976-08-31,CYCLOPOIDA COPEPODITES,20000,15000,0.18,
KE,1976,1976-08-31,DAPHNIA MENDOTAE,51103,20000,1.8,
KE,1976,1976-08-31,DAPHNIA MENDOTAE JUVENILE,51103,28000,0.93,
KE,1976,1976-08-31,DAPHNIA PULICARIA,51130,8000,1.61,
KE,1976,1976-08-31,DIACYCLOPS THOMASI,20302,46000,0.7,
KE,1976,1976-08-31,DIAPHANOSOMA BIRGEI,51202,14000,1.18,
KE,1976,1976-08-31,DIAPHANOSOMA BIRGEI JUVENILE,51202,20000,0.59,
KE,1976,1976-08-31,KERATELLA COCHLEARIS,61801,5000,0.1,
KE,1976,1976-08-31,LEPTODIAPTOMUS SICILOIDES,30404,36000,0.83,
KE,1976,1976-08-31,LEPTODORA KINDTI,52301,113,,
KE,1976,1976-09-30,ACANTHOCYCLOPS VERNALIS,20101,81000,,
KE,1976,1976-09-30,AGLAODIAPTOMUS CLAVIPES,30901,20000,,
KE,1976,1976-09-30,CALANOIDA COPEPODITES,30000,320000,,
KE,1976,1976-09-30,CHYDORUS SPHAERICUS,51005,25000,,
KE,1976,1976-09-30,CONOCHILUS UNICORNIS,60902,71000,,
KE,1976,1976-09-30,COPEPOD NAUPLII,10000,173000,,
KE,1976,1976-09-30,DAPHNIA MENDOTAE,51103,35000,1.52,
KE,1976,1976-09-30,DAPHNIA MENDOTAE JUVENILE,51103,35000,0.78,
KE,1976,1976-09-30,DAPHNIA PULICARIA,51130,12000,1.58,
KE,1976,1976-09-30,DAPHNIA PULICARIA JUVENILE,51130,3000,1.12,
KE,1976,1976-09-30,DAPHNIA RETROCURVA,51107,3000,1.55,
KE,1976,1976-09-30,DAPHNIA RETROCURVA JUVENILE,51107,3000,1.12,
KE,1976,1976-09-30,DIACYCLOPS THOMASI,20302,66000,,
KE,1976,1976-09-30,DIAPHANOSOMA BIRGEI,51202,81000,1.15,
KE,1976,1976-09-30,DIAPHANOSOMA BIRGEI JUVENILE,51202,78000,0.74,
KE,1976,1976-09-30,KERATELLA COCHLEARIS,61801,809000,,
KE,1976,1976-09-30,KERATELLA QUADRATA,61806,10000,,
KE,1976,1976-09-30,LEPTODIAPTOMUS SICILOIDES,30404,137000,,
KE,1976,1976-09-30,POLYARTHRA,63000,10000,,
KE,1976,1976-11-11,AGLAODIAPTOMUS CLAVIPES,30901,7000,1.6,
KE,1976,1976-11-11,BOSMINA LONGIROSTRIS,50701,14000,0.37,
KE,1976,1976-11-11,CALANOIDA COPEPODITES,30000,14000,0.9,
KE,1976,1976-11-11,CHYDORUS SPHAERICUS,51005,61000,0.3,
KE,1976,1976-11-11,COPEPOD NAUPLII,10000,4000,0.17,
KE,1976,1976-11-11,DAPHNIA MENDOTAE,51103,68000,1.49,
KE,1976,1976-11-11,DAPHNIA MENDOTAE JUVENILE,51103,142000,0.78,
KE,1976,1976-11-11,DIACYCLOPS THOMASI,20302,51000,0.76,
KE,1976,1976-11-11,KERATELLA COCHLEARIS,61801,7000,0.1,
KE,1976,1976-11-11,LEPTODIAPTOMUS SICILOIDES,30404,181000,1.08,
KE,1976,1976-11-11,LEPTODORA KINDTI,52301,113,,
KE,1977,1977-02-09,ACANTHOCYCLOPS VERNALIS,20101,13000,,
KE,1977,1977-02-09,AGLAODIAPTOMUS CLAVIPES,30901,6000,,
KE,1977,1977-02-09,COPEPOD NAUPLII,10000,13000,,
KE,1977,1977-02-09,DAPHNIA MENDOTAE,51103,25000,1.36,
KE,1977,1977-02-09,DAPHNIA MENDOTAE JUVENILE,51103,4000,1.12,
KE,1977,1977-02-09,DIACYCLOPS THOMASI,20302,50000,,
KE,1977,1977-02-09,KELLICOTTIA LONGISPINA,61702,94000,,
KE,1977,1977-02-09,KERATELLA QUADRATA,61806,6000,,
KE,1977,1977-02-09,LEPTODIAPTOMUS SICILOIDES,30404,245000,,
KE,1977,1977-02-09,POLYARTHRA,63000,6000,,
KE,1977,1977-02-09,TROPOCYCLOPS PRASINUS MEXICANUS,20901,19000,,
KE,1977,1977-03-07,ACANTHOCYCLOPS VERNALIS,20101,6000,,
KE,1977,1977-03-07,AGLAODIAPTOMUS CLAVIPES,30901,33000,,
KE,1977,1977-03-07,COPEPOD NAUPLII,10000,17000,,
KE,1977,1977-03-07,CYCLOPOIDA COPEPODITES,20000,17000,,
KE,1977,1977-03-07,DAPHNIA MENDOTAE,51103,10000,1.33,
KE,1977,1977-03-07,DAPHNIA MENDOTAE JUVENILE,51103,3000,1.05,
KE,1977,1977-03-07,DIACYCLOPS THOMASI,20302,78000,,
KE,1977,1977-03-07,LEPTODIAPTOMUS SICILOIDES,30404,100000,,
KE,1977,1977-03-07,SKISTODIAPTOMUS OREGONENSIS,30801,6000,,
KE,1977,1977-03-24,AGLAODIAPTOMUS CLAVIPES,30901,7000,2.14,
KE,1977,1977-03-24,COPEPOD NAUPLII,10000,816000,0.25,
KE,1977,1977-03-24,CYCLOPOIDA COPEPODITES,20000,21000,0.64,
KE,1977,1977-03-24,DAPHNIA MENDOTAE,51103,12000,1.71,
KE,1977,1977-03-24,DIACYCLOPS THOMASI,20302,7000,1.65,
KE,1977,1977-03-24,KELLICOTTIA BOSTONIENSIS,61701,70000,,
KE,1977,1977-03-24,KELLICOTTIA LONGISPINA,61702,7000,,
KE,1977,1977-03-24,KERATELLA COCHLEARIS,61801,7000,0.21,
KE,1977,1977-03-24,KERATELLA QUADRATA,61806,30000,0.24,
KE,1977,1977-03-24,LEPTODIAPTOMUS SICILOIDES,30404,126000,1.21,
KE,1977,1977-03-24,NOTHOLCA ACUMINATA,62601,7000,0.27,
KE,1977,1977-03-24,TROPOCYCLOPS PRASINUS MEXICANUS,20901,7000,0.76,
KE,1977,1977-08-31,ACANTHOCYCLOPS VERNALIS,20101,249000,1.16,
KE,1977,1977-08-31,AGLAODIAPTOMUS CLAVIPES,30901,11000,1.85,
KE,1977,1977-08-31,CALANOIDA COPEPODITES,30000,265000,0.79,
KE,1977,1977-08-31,CONOCHILUS UNICORNIS,60902,1247000,0.18,
KE,1977,1977-08-31,COPEPOD NAUPLII,10000,1189000,0.19,
KE,1977,1977-08-31,CYCLOPOIDA COPEPODITES,20000,119000,0.51,
KE,1977,1977-08-31,DAPHNIA MENDOTAE,51103,16000,1.49,
KE,1977,1977-08-31,DAPHNIA MENDOTAE JUVENILE,51103,13000,0.68,
KE,1977,1977-08-31,DAPHNIA RETROCURVA,51107,13000,1.36,
KE,1977,1977-08-31,DAPHNIA RETROCURVA JUVENILE,51107,26000,0.84,
KE,1977,1977-08-31,DIACYCLOPS THOMASI,20302,11000,1.18,
KE,1977,1977-08-31,DIAPHANOSOMA BIRGEI,51202,119000,1.09,
KE,1977,1977-08-31,DIAPHANOSOMA BIRGEI JUVENILE,51202,135000,0.65,
KE,1977,1977-08-31,KERATELLA COCHLEARIS,61801,671000,0.18,
KE,1977,1977-08-31,LEPTODIAPTOMUS SICILOIDES,30404,227000,1.18,
KE,1977,1977-08-31,LEPTODORA KINDTI,52301,169,,
KE,1977,1977-08-31,TRICHOCERCA PUSILLA,63614,5000,0.13,
KE,1977,1977-10-13,ACANTHOCYCLOPS VERNALIS,20101,45000,1.07,
KE,1977,1977-10-13,AGLAODIAPTOMUS CLAVIPES,30901,6000,1.98,
KE,1977,1977-10-13,CALANOIDA COPEPODITES,30000,41000,1.02,
KE,1977,1977-10-13,CHYDORUS SPHAERICUS,51005,5000,0.23,
KE,1977,1977-10-13,CONOCHILUS UNICORNIS,60902,81000,0.17,
KE,1977,1977-10-13,COPEPOD NAUPLII,10000,121000,0.22,
KE,1977,1977-10-13,CYCLOPOIDA COPEPODITES,20000,11000,0.62,
KE,1977,1977-10-13,DAPHNIA RETROCURVA JUVENILE,51107,5000,0.97,
KE,1977,1977-10-13,DIACYCLOPS THOMASI,20302,19000,1.34,
KE,1977,1977-10-13,DIAPHANOSOMA BIRGEI,51202,3000,1.61,
KE,1977,1977-10-13,DIAPHANOSOMA BIRGEI JUVENILE,51202,2000,0.81,
KE,1977,1977-10-13,FILINIA TERMINALIS,61402,1000,,
KE,1977,1977-10-13,KERATELLA COCHLEARIS,61801,929000,0.17,
KE,1977,1977-10-13,LEPTODIAPTOMUS SICILOIDES,30404,67000,1.27,
KE,1977,1977-10-13,NOTHOLCA,62600,4000,0.13,
KE,1977,1977-10-13,TRICHOCERCA PUSILLA,63614,1000,0.14,
KE,1977,1977-10-13,TROPOCYCLOPS PRASINUS MEXICANUS,20901,8000,0.73,
KE,1978,1978-03-15,AGLAODIAPTOMUS CLAVIPES,30901,12000,,
KE,1978,1978-03-15,BOSMINA LONGIROSTRIS,50701,8000,,
KE,1978,1978-03-15,CALANOIDA COPEPODITES,30000,4000,,
KE,1978,1978-03-15,COPEPOD NAUPLII,10000,1022000,,
KE,1978,1978-03-15,CYCLOPOIDA COPEPODITES,20000,16000,,
KE,1978,1978-03-15,DAPHNIA MENDOTAE JUVENILE,51103,2000,0.62,
KE,1978,1978-03-15,DIACYCLOPS THOMASI,20302,35000,,
KE,1978,1978-03-15,KELLICOTTIA BOSTONIENSIS,61701,4000,,
KE,1978,1978-03-15,KERATELLA COCHLEARIS,61801,24000,,
KE,1978,1978-03-15,KERATELLA QUADRATA,61806,4000,,
KE,1978,1978-03-15,LEPTODIAPTOMUS SICILOIDES,30404,82000,,
KE,1978,1978-03-15,TROPOCYCLOPS PRASINUS MEXICANUS,20901,20000,,
KE,1978,1978-06-05,ACANTHOCYCLOPS VERNALIS,20101,181000,1.14,
KE,1978,1978-06-05,ASPLANCHNA PRIODONTA,60303,40000,0.5,
KE,1978,1978-06-05,BOSMINA LONGIROSTRIS,50701,448000,0.36,
KE,1978,1978-06-05,CALANOIDA COPEPODITES,30000,127000,0.76,
KE,1978,1978-06-05,CHYDORUS SPHAERICUS,51005,33000,0.26,
KE,1978,1978-06-05,CONOCHILUS UNICORNIS,60902,20000,0.13,
KE,1978,1978-06-05,COPEPOD NAUPLII,10000,2074000,0.22,
KE,1978,1978-06-05,CYCLOPOIDA COPEPODITES,20000,20000,0.55,
KE,1978,1978-06-05,DAPHNIA MENDOTAE,51103,86000,1.55,
KE,1978,1978-06-05,DAPHNIA MENDOTAE JUVENILE,51103,254000,0.9,
KE,1978,1978-06-05,DIACYCLOPS THOMASI,20302,74000,1.01,
KE,1978,1978-06-05,KELLICOTTIA BOSTONIENSIS,61701,20000,,
KE,1978,1978-06-05,KERATELLA COCHLEARIS,61801,100000,0.15,
KE,1978,1978-06-05,KERATELLA QUADRATA,61806,542000,0.29,
KE,1978,1978-06-05,LEPTODIAPTOMUS SICILOIDES,30404,94000,1.3,
KE,1978,1978-06-05,POMPHYLOX SULCATA,63101,7000,0.11,
KE,1978,1978-06-05,TROPOCYCLOPS PRASINUS MEXICANUS,20901,161000,0.76,
KE,1978,1978-07-11,ACANTHOCYCLOPS VERNALIS,20101,70000,1.35,
KE,1978,1978-07-11,CALANOIDA COPEPODITES,30000,131000,0.71,
KE,1978,1978-07-11,CHYDORUS SPHAERICUS,51005,530000,0.21,
KE,1978,1978-07-11,CONOCHILUS UNICORNIS,60902,26000,0.15,
KE,1978,1978-07-11,COPEPOD NAUPLII,10000,849000,0.16,
KE,1978,1978-07-11,DAPHNIA MENDOTAE,51103,26000,1.92,
KE,1978,1978-07-11,DAPHNIA MENDOTAE JUVENILE,51103,10000,0.74,
KE,1978,1978-07-11,DAPHNIA RETROCURVA,51107,7000,1.46,
KE,1978,1978-07-11,DAPHNIA RETROCURVA JUVENILE,51107,3000,0.68,
KE,1978,1978-07-11,DIACYCLOPS THOMASI,20302,4000,1.25,
KE,1978,1978-07-11,DIAPHANOSOMA BIRGEI,51202,13000,1.27,
KE,1978,1978-07-11,DIAPHANOSOMA BIRGEI JUVENILE,51202,43000,0.68,
KE,1978,1978-07-11,KERATELLA COCHLEARIS,61801,280000,0.16,
KE,1978,1978-07-11,KERATELLA QUADRATA,61806,4000,0.23,
KE,1978,1978-07-11,LEPTODIAPTOMUS SICILOIDES,30404,66000,1.22,
KE,1978,1978-07-11,LEPTODORA KINDTI,52301,113,,
KE,1978,1978-07-11,POLYARTHRA,63000,4000,0.13,
KE,1978,1978-07-11,POMPHYLOX SULCATA,63101,757000,0.1,
KE,1978,1978-07-11,SYNCHAETA,63400,9000,0.09,
KE,1978,1978-07-11,TRICHOCERCA PUSILLA,63614,22000,0.15,
KE,1978,1978-07-11,TROPOCYCLOPS PRASINUS MEXICANUS,20901,31000,0.09,
KE,1978,1978-09-11,ACANTHOCYCLOPS VERNALIS,20101,79000,,
KE,1978,1978-09-11,CALANOIDA COPEPODITES,30000,101000,,
KE,1978,1978-09-11,CHYDORUS SPHAERICUS,51005,640000,,
KE,1978,1978-09-11,CONOCHILUS UNICORNIS,60902,7000,,
KE,1978,1978-09-11,COPEPOD NAUPLII,10000,1173000,,
KE,1978,1978-09-11,CYCLOPOIDA COPEPODITES,20000,86000,,
KE,1978,1978-09-11,DAPHNIA RETROCURVA,51107,28000,1.33,
KE,1978,1978-09-11,DAPHNIA RETROCURVA JUVENILE,51107,88000,0.84,
KE,1978,1978-09-11,DIAPHANOSOMA BIRGEI,51202,23000,1.12,
KE,1978,1978-09-11,DIAPHANOSOMA BIRGEI JUVENILE,51202,18000,0.62,
KE,1978,1978-09-11,FILINIA,61400,259000,,
KE,1978,1978-09-11,FILINIA TERMINALIS,61402,36000,,
KE,1978,1978-09-11,KERATELLA COCHLEARIS,61801,482000,,
KE,1978,1978-09-11,KERATELLA QUADRATA,61806,14000,,
KE,1978,1978-09-11,LEPTODIAPTOMUS SICILOIDES,30404,43000,,
KE,1978,1978-09-11,POLYARTHRA,63000,65000,,
KE,1978,1978-09-11,POMPHYLOX SULCATA,63101,29000,,
KE,1978,1978-09-11,TRICHOCERCA MULTICRINIS,63612,101000,,
KE,1978,1978-09-11,TRICHOCERCA PUSILLA,63614,65000,,
KE,1978,1978-09-11,TRICHOCERCA SIMILIS,63617,7000,,
KE,1978,1978-09-11,TROPOCYCLOPS PRASINUS MEXICANUS,20901,36000,,
KE,1978,1978-10-18,ACANTHOCYCLOPS VERNALIS,20101,7000,1.49,
KE,1978,1978-10-18,CALANOIDA COPEPODITES,30000,36000,0.71,
KE,1978,1978-10-18,CHYDORUS SPHAERICUS,51005,88000,0.29,
KE,1978,1978-10-18,COPEPOD NAUPLII,10000,111000,0.16,
KE,1978,1978-10-18,DAPHNIA MENDOTAE,51103,2000,1.83,
KE,1978,1978-10-18,DAPHNIA MENDOTAE JUVENILE,51103,5000,1.05,
KE,1978,1978-10-18,DAPHNIA RETROCURVA,51107,5000,1.3,
KE,1978,1978-10-18,DAPHNIA RETROCURVA JUVENILE,51107,10000,0.78,
KE,1978,1978-10-18,DIACYCLOPS THOMASI,20302,10000,1.26,
KE,1978,1978-10-18,DIAPHANOSOMA BIRGEI JUVENILE,51202,2000,0.71,
KE,1978,1978-10-18,EUBOSMINA COREGONI,51501,20000,0.33,
KE,1978,1978-10-18,KERATELLA COCHLEARIS,61801,7000,0.14,
KE,1978,1978-10-18,LEPTODIAPTOMUS SICILOIDES,30404,23000,1.28,
KE,1978,1978-10-18,POLYARTHRA,63000,10000,0.14,
KE,1978,1978-10-18,POMPHYLOX SULCATA,63101,3000,0.1,
KE,1979,1979-03-16,ASPLANCHNA PRIODONTA,60303,3000,,
KE,1979,1979-03-16,CALANOIDA COPEPODITES,30000,3000,,
KE,1979,1979-03-16,CHYDORUS SPHAERICUS,51005,3000,,
KE,1979,1979-03-16,COPEPOD NAUPLII,10000,804000,,
KE,1979,1979-03-16,DAPHNIA MENDOTAE JUVENILE,51103,4000,0.87,
KE,1979,1979-03-16,DIACYCLOPS THOMASI,20302,45000,,
KE,1979,1979-03-16,KERATELLA COCHLEARIS,61801,11000,,
KE,1979,1979-03-16,LEPTODIAPTOMUS SICILOIDES,30404,21000,,
KE,1979,1979-03-16,NOTHOLCA ACUMINATA,62601,3000,,
KE,1979,1979-03-16,SKISTODIAPTOMUS OREGONENSIS,30801,3000,,
KE,1979,1979-04-26,ASPLANCHNA PRIODONTA,60303,61000,0.19,
KE,1979,1979-04-26,COPEPOD NAUPLII,10000,766000,0.21,
KE,1979,1979-04-26,DAPHNIA MENDOTAE,51103,4000,1.33,
KE,1979,1979-04-26,DIACYCLOPS THOMASI,20302,54000,1.35,
KE,1979,1979-04-26,KERATELLA COCHLEARIS,61801,20000,0.15,
KE,1979,1979-04-26,KERATELLA QUADRATA,61806,68000,0.18,
KE,1979,1979-04-26,LEPTODIAPTOMUS SICILOIDES,30404,34000,1.29,
KE,1979,1979-04-26,NOTHOLCA ACUMINATA,62601,47000,0.19,
KE,1979,1979-04-26,NOTHOLCA SQUAMULA,62608,14000,0.16,
KE,1979,1979-04-26,POLYARTHRA,63000,81000,0.15,
KE,1979,1979-04-26,POMPHYLOX SULCATA,63101,298000,0.11,
KE,1979,1979-04-26,SYNCHAETA,63400,786000,0.21,
KE,1979,1979-04-26,TROPOCYCLOPS PRASINUS MEXICANUS,20901,142000,0.89,
KE,1979,1979-06-13,ACANTHOCYCLOPS VERNALIS,20101,142000,,
KE,1979,1979-06-13,BOSMINA LONGIROSTRIS,50701,223000,,
KE,1979,1979-06-13,CALANOIDA COPEPODITES,30000,7000,,
KE,1979,1979-06-13,CHYDORUS SPHAERICUS,51005,183000,,
KE,1979,1979-06-13,COPEPOD NAUPLII,10000,1521000,,
KE,1979,1979-06-13,DAPHNIA MENDOTAE,51103,9000,1.4,
KE,1979,1979-06-13,DAPHNIA MENDOTAE JUVENILE,51103,38000,0.87,
KE,1979,1979-06-13,KERATELLA COCHLEARIS,61801,34000,,
KE,1979,1979-06-13,KERATELLA QUADRATA,61806,27000,,
KE,1979,1979-06-13,LEPTODIAPTOMUS SICILIS,30403,7000,,
KE,1979,1979-06-13,LEPTODIAPTOMUS SICILOIDES,30404,20000,,
KE,1979,1979-06-13,POLYARTHRA,63000,7000,,
KE,1979,1979-06-13,SKISTODIAPTOMUS OREGONENSIS,30801,7000,,
KE,1979,1979-06-13,TRICHOCERCA MULTICRINIS,63612,7000,,
KE,1979,1979-07-09,ACANTHOCYCLOPS VERNALIS,20101,115000,1.45,
KE,1979,1979-07-09,BOSMINA LONGIROSTRIS,50701,28000,0.25,
KE,1979,1979-07-09,CALANOIDA COPEPODITES,30000,44000,0.76,
KE,1979,1979-07-09,CHYDORUS SPHAERICUS,51005,405000,0.28,
KE,1979,1979-07-09,COPEPOD NAUPLII,10000,498000,0.17,
KE,1979,1979-07-09,DAPHNIA MENDOTAE,51103,28000,1.77,
KE,1979,1979-07-09,DAPHNIA MENDOTAE JUVENILE,51103,28000,0.84,
KE,1979,1979-07-09,DAPHNIA PULICARIA,51130,4000,1.61,
KE,1979,1979-07-09,DAPHNIA PULICARIA JUVENILE,51130,18000,0.99,
KE,1979,1979-07-09,DIAPHANOSOMA BIRGEI,51202,39000,1.15,
KE,1979,1979-07-09,DIAPHANOSOMA BIRGEI JUVENILE,51202,46000,0.74,
KE,1979,1979-07-09,EUBOSMINA COREGONI,51501,171000,0.45,
KE,1979,1979-07-09,FILINIA,61400,28000,,
KE,1979,1979-07-09,KERATELLA COCHLEARIS,61801,171000,0.13,
KE,1979,1979-07-09,LEPTODIAPTOMUS SICILOIDES,30404,21000,1.35,
KE,1979,1979-07-09,LEPTODORA KINDTI,52301,113,,
KE,1979,1979-07-09,MESOCYCLOPS EDAX,20601,7000,2.05,
KE,1979,1979-07-09,POLYARTHRA,63000,7000,0.1,
KE,1979,1979-07-09,POMPHYLOX SULCATA,63101,1650000,0.1,
KE,1979,1979-07-09,TRICHOCERCA MULTICRINIS,63612,71000,0.27,
KE,1979,1979-07-09,TROPOCYCLOPS PRASINUS MEXICANUS,20901,14000,0.74,
KE,1979,1979-08-16,ACANTHOCYCLOPS VERNALIS,20101,38000,,
KE,1979,1979-08-16,CALANOIDA COPEPODITES,30000,19000,,
KE,1979,1979-08-16,CHYDORUS SPHAERICUS,51005,58000,,
KE,1979,1979-08-16,CONOCHILUS UNICORNIS,60902,6000,,
KE,1979,1979-08-16,COPEPOD NAUPLII,10000,64000,,
KE,1979,1979-08-16,DAPHNIA MENDOTAE JUVENILE,51103,11000,0.87,
