lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
AL,1987,180,1987-06-29,0.755,,
AL,1987,194,1987-07-13,0.672,,
AL,1987,208,1987-07-27,0.742,,
AL,1987,225,1987-08-13,0.853,,
AL,1987,238,1987-08-26,0.998,,
AL,1987,253,1987-09-10,0.978,,
AL,1987,264,1987-09-21,1.02,,
AL,1987,278,1987-10-05,1.026,,
AL,1987,294,1987-10-21,0.685,,
AL,1987,309,1987-11-05,0.705,,
AL,1987,322,1987-11-18,0.671,,
AL,1988,11,1988-01-11,,V,extcoef: Insufficient light data
AL,1988,62,1988-03-02,,V,extcoef: Insufficient light data
AL,1988,81,1988-03-21,0.755,,
AL,1988,117,1988-04-26,0.769,,
AL,1988,130,1988-05-09,0.638,,
AL,1988,146,1988-05-25,0.584,,
AL,1988,159,1988-06-07,0.51,,
AL,1988,172,1988-06-20,0.626,,
AL,1988,186,1988-07-04,0.681,,
AL,1988,201,1988-07-19,0.677,,
AL,1988,216,1988-08-03,0.561,,
AL,1988,231,1988-08-18,0.697,,
AL,1988,243,1988-08-30,1.073,,
AL,1988,257,1988-09-13,1.248,,
AL,1988,272,1988-09-28,1.047,,
AL,1988,286,1988-10-12,0.82,,
AL,1988,299,1988-10-25,0.538,,
AL,1988,307,1988-11-02,0.523,,
AL,1989,11,1989-01-11,,V,extcoef: Insufficient light data
AL,1989,65,1989-03-06,,V,extcoef: Insufficient light data
AL,1989,86,1989-03-27,1.611,,
AL,1989,121,1989-05-01,0.821,,
AL,1989,136,1989-05-16,0.726,,
AL,1989,149,1989-05-29,0.472,,
AL,1989,164,1989-06-13,0.531,,
AL,1989,179,1989-06-28,0.579,,
AL,1989,193,1989-07-12,0.607,,
AL,1989,206,1989-07-25,0.725,,
AL,1989,219,1989-08-07,0.36,,
AL,1989,234,1989-08-22,0.763,,
AL,1989,249,1989-09-06,0.922,,
AL,1989,262,1989-09-19,1.332,,
AL,1989,277,1989-10-04,0.863,,
AL,1989,291,1989-10-18,0.624,,
AL,1989,304,1989-10-31,0.646,,
AL,1989,313,1989-11-09,0.634,,
AL,1990,24,1990-01-24,,V,extcoef: No light data
AL,1990,58,1990-02-27,,V,extcoef: Insufficient light data
AL,1990,86,1990-03-27,,V,extcoef: No light data
AL,1990,120,1990-04-30,0.75,,
AL,1990,137,1990-05-17,,V,extcoef: Light not monotonically decreasing
AL,1990,150,1990-05-30,0.542,,
AL,1990,164,1990-06-13,0.488,,
AL,1990,178,1990-06-27,0.575,,
AL,1990,190,1990-07-09,,V,extcoef: Light not monotonically decreasing
AL,1990,205,1990-07-24,0.655,,
AL,1990,220,1990-08-08,0.742,,
AL,1990,234,1990-08-22,0.816,,
AL,1990,247,1990-09-04,0.769,,
AL,1990,261,1990-09-18,1.12,,
AL,1990,276,1990-10-03,1.129,,
AL,1990,290,1990-10-17,1.205,,
AL,1990,304,1990-10-31,1.102,,
AL,1990,313,1990-11-09,1.327,,
AL,1991,17,1991-01-17,0.907,,
AL,1991,50,1991-02-19,,V,extcoef: Insufficient light data
AL,1991,84,1991-03-25,0.739,,
AL,1991,127,1991-05-07,0.771,,
AL,1991,141,1991-05-21,0.464,,
AL,1991,155,1991-06-04,0.635,,
AL,1991,169,1991-06-18,0.589,,
AL,1991,184,1991-07-03,0.614,,
AL,1991,196,1991-07-15,0.726,,
AL,1991,211,1991-07-30,0.742,,
AL,1991,225,1991-08-13,0.72,,
AL,1991,239,1991-08-27,0.79,,
AL,1991,253,1991-09-10,0.799,,
AL,1991,266,1991-09-23,,V,extcoef: Light not monotonically decreasing
AL,1991,282,1991-10-09,0.949,,
AL,1991,301,1991-10-28,,V,extcoef: Light not monotonically decreasing
AL,1992,17,1992-01-17,,V,extcoef: Insufficient light data
AL,1992,64,1992-03-04,0.916,,
AL,1992,83,1992-03-23,0.948,,
AL,1992,126,1992-05-05,1.178,,
AL,1992,139,1992-05-18,0.786,,
AL,1992,153,1992-06-01,0.699,,
AL,1992,171,1992-06-19,0.711,,
AL,1992,189,1992-07-07,0.762,,
AL,1992,197,1992-07-15,,V,extcoef: No light data
AL,1992,211,1992-07-29,0.824,,
AL,1992,225,1992-08-12,0.726,,
AL,1992,239,1992-08-26,0.65,,
AL,1992,255,1992-09-11,1.204,,
AL,1992,265,1992-09-21,1.134,,
AL,1992,280,1992-10-06,0.788,,
AL,1992,295,1992-10-21,0.701,,
AL,1992,311,1992-11-06,0.788,,
AL,1993,8,1993-01-08,,V,extcoef: Insufficient light data
AL,1993,54,1993-02-23,1.035,,
AL,1993,82,1993-03-23,0.659,,
AL,1993,123,1993-05-03,0.978,,
AL,1993,137,1993-05-17,0.854,,
AL,1993,155,1993-06-04,,V,extcoef: Light not monotonically decreasing
AL,1993,167,1993-06-16,,V,extcoef: No light data
AL,1993,181,1993-06-30,0.404,,
AL,1993,193,1993-07-12,0.7,,
AL,1993,207,1993-07-26,0.642,,
AL,1993,223,1993-08-11,0.587,,
AL,1993,238,1993-08-26,0.615,,
AL,1993,252,1993-09-09,0.821,,
AL,1993,265,1993-09-22,0.466,,
AL,1993,277,1993-10-04,0.955,,
AL,1993,294,1993-10-21,,V,extcoef: Light not monotonically decreasing
AL,1993,307,1993-11-03,0.777,,
AL,1994,10,1994-01-10,,V,extcoef: No light data
AL,1994,53,1994-02-22,0.75,,
AL,1994,88,1994-03-29,,V,extcoef: Insufficient light data
AL,1994,123,1994-05-03,0.817,,
AL,1994,140,1994-05-20,0.684,,
AL,1994,157,1994-06-06,,V,extcoef: Light not monotonically decreasing
AL,1994,164,1994-06-13,0.571,,
AL,1994,178,1994-06-27,0.628,,
AL,1994,193,1994-07-12,0.777,,
AL,1994,208,1994-07-27,0.817,,
AL,1994,220,1994-08-08,0.748,,
AL,1994,237,1994-08-25,0.901,,
AL,1994,252,1994-09-09,,V,extcoef: Light not monotonically decreasing
AL,1994,264,1994-09-21,0.823,,
AL,1994,278,1994-10-05,1.141,,
AL,1994,290,1994-10-17,1.023,,
AL,1994,304,1994-10-31,0.95,,
AL,1994,321,1994-11-17,0.863,,
AL,1995,11,1995-01-11,,V,extcoef: Insufficient light data
AL,1995,52,1995-02-21,,V,extcoef: Insufficient light data
AL,1995,121,1995-05-01,0.822,,
AL,1995,135,1995-05-15,0.711,,
AL,1995,150,1995-05-30,0.703,,
AL,1995,163,1995-06-12,0.663,,
AL,1995,177,1995-06-26,0.752,,
AL,1995,191,1995-07-10,0.661,,
AL,1995,207,1995-07-26,0.775,,
AL,1995,220,1995-08-08,0.84,,
AL,1995,233,1995-08-21,0.919,,
AL,1995,250,1995-09-07,,V,extcoef: Light not monotonically decreasing
AL,1995,261,1995-09-18,1.232,,
AL,1995,275,1995-10-02,1.075,,
AL,1995,289,1995-10-16,1.154,,
AL,1995,303,1995-10-30,,V,extcoef: Light not monotonically decreasing
AL,1995,348,1995-12-14,,V,extcoef: Insufficient light data
AL,1996,16,1996-01-16,,V,extcoef: Insufficient light data
AL,1996,51,1996-02-20,,V,extcoef: No light data
AL,1996,99,1996-04-08,,V,extcoef: No light data
AL,1996,135,1996-05-14,1.059,,
AL,1996,151,1996-05-30,0.863,,
AL,1996,164,1996-06-12,0.568,,
AL,1996,179,1996-06-27,0.838,,
AL,1996,193,1996-07-11,,V,extcoef: Light not monotonically decreasing
AL,1996,204,1996-07-22,0.833,,
AL,1996,221,1996-08-08,0.754,,
AL,1996,234,1996-08-21,,V,extcoef: Light not monotonically decreasing
AL,1996,247,1996-09-03,0.744,,
AL,1996,260,1996-09-16,1.011,,
AL,1996,276,1996-10-02,1.303,,
AL,1996,290,1996-10-16,,V,extcoef: Light not monotonically decreasing
AL,1996,309,1996-11-04,1.51,,
AL,1997,20,1997-01-20,,V,extcoef: Insufficient light data
AL,1997,57,1997-02-26,,V,extcoef: Insufficient light data
AL,1997,78,1997-03-19,,V,extcoef: Insufficient light data
AL,1997,133,1997-05-13,0.909,,
AL,1997,140,1997-05-20,0.821,,
AL,1997,154,1997-06-03,0.694,,
AL,1997,167,1997-06-16,0.729,,
AL,1997,183,1997-07-02,0.626,,
AL,1997,196,1997-07-15,,V,extcoef: No light data
AL,1997,212,1997-07-31,,V,extcoef: No light data
AL,1997,226,1997-08-14,,V,extcoef: Light not monotonically decreasing
AL,1997,239,1997-08-27,,V,extcoef: No light data
AL,1997,251,1997-09-08,0.761,,
AL,1997,268,1997-09-25,1.31,,
AL,1997,280,1997-10-07,1.31,,
AL,1997,293,1997-10-20,1.976,,
AL,1997,311,1997-11-07,1.015,,
AL,1998,19,1998-01-19,,V,extcoef: Insufficient light data
AL,1998,55,1998-02-24,0.765,,
AL,1998,75,1998-03-16,0.932,,
AL,1998,112,1998-04-22,0.841,,
AL,1998,124,1998-05-04,0.798,,
AL,1998,138,1998-05-18,0.739,,
AL,1998,152,1998-06-01,0.631,,
AL,1998,168,1998-06-17,0.684,,
AL,1998,180,1998-06-29,0.782,,
AL,1998,194,1998-07-13,0.822,,
AL,1998,210,1998-07-29,0.81,,
AL,1998,223,1998-08-11,0.791,,
AL,1998,237,1998-08-25,0.831,,
AL,1998,252,1998-09-09,0.862,,
AL,1998,265,1998-09-22,0.971,,
AL,1998,278,1998-10-05,1.315,,
AL,1998,292,1998-10-19,1.332,,
AL,1998,308,1998-11-04,1.024,,
AL,1999,21,1999-01-21,,V,extcoef: Insufficient light data
AL,1999,56,1999-02-25,,V,extcoef: Insufficient light data
AL,1999,82,1999-03-23,0.728,,
AL,1999,126,1999-05-06,0.675,,
AL,1999,137,1999-05-17,,V,extcoef: Light not monotonically decreasing
AL,1999,155,1999-06-04,0.559,,
AL,1999,167,1999-06-16,0.694,,
AL,1999,179,1999-06-28,0.775,,
AL,1999,195,1999-07-14,0.642,,
AL,1999,209,1999-07-28,0.699,,
AL,1999,222,1999-08-10,0.707,,
AL,1999,238,1999-08-26,0.706,,
AL,1999,250,1999-09-07,0.847,,
AL,1999,265,1999-09-22,1.326,,
AL,1999,277,1999-10-04,1.135,,
AL,1999,292,1999-10-19,0.862,,
AL,1999,309,1999-11-05,0.848,,
AL,2000,26,2000-01-26,,V,extcoef: Insufficient light data
AL,2000,55,2000-02-24,0.67,,
AL,2000,94,2000-04-03,0.694,,
AL,2000,115,2000-04-24,0.671,,
AL,2000,125,2000-05-04,0.577,,
AL,2000,137,2000-05-16,0.525,,
AL,2000,154,2000-06-02,0.565,,
AL,2000,165,2000-06-13,0.354,,
AL,2000,181,2000-06-29,0.663,,
AL,2000,194,2000-07-12,0.458,,
AL,2000,206,2000-07-24,0.769,,
AL,2000,222,2000-08-09,0.711,,
AL,2000,236,2000-08-23,,V,extcoef: Light not monotonically decreasing
AL,2000,252,2000-09-08,1.149,,
AL,2000,263,2000-09-19,1.015,,
AL,2000,276,2000-10-02,1.188,,
AL,2000,290,2000-10-16,0.79,,
AL,2000,304,2000-10-30,0.799,,
AL,2000,320,2000-11-15,0.578,,
AL,2001,26,2001-01-26,0.591,,
AL,2001,61,2001-03-02,0.679,,
AL,2001,92,2001-04-02,0.568,,
AL,2001,121,2001-05-01,0.82,,
AL,2001,134,2001-05-14,0.605,,
AL,2001,149,2001-05-29,0.516,,
AL,2001,162,2001-06-11,0.569,,
AL,2001,176,2001-06-25,0.708,,
AL,2001,191,2001-07-10,0.676,,
AL,2001,204,2001-07-23,0.689,,
AL,2001,218,2001-08-06,0.688,,
AL,2001,235,2001-08-23,0.705,,
AL,2001,248,2001-09-05,0.684,,
AL,2001,260,2001-09-17,0.678,,
AL,2001,276,2001-10-03,0.716,,
AL,2001,288,2001-10-15,0.821,,
AL,2001,302,2001-10-29,0.814,,
AL,2001,318,2001-11-14,,V,extcoef: Light not monotonically decreasing
AL,2002,23,2002-01-23,0.676,,
AL,2002,64,2002-03-05,0.541,,
AL,2002,94,2002-04-04,0.119,,
AL,2002,113,2002-04-23,0.748,,
AL,2002,126,2002-05-06,0.747,,
AL,2002,140,2002-05-20,,V,extcoef: Light not monotonically decreasing
AL,2002,154,2002-06-03,0.581,,
AL,2002,168,2002-06-17,,V,extcoef: Light not monotonically decreasing
AL,2002,182,2002-07-01,0.646,,
AL,2002,197,2002-07-16,,V,extcoef: No light data
AL,2002,213,2002-08-01,,V,extcoef: No light data
AL,2002,226,2002-08-14,0.759,,
AL,2002,238,2002-08-26,0.73,,
AL,2002,252,2002-09-09,,V,extcoef: Light not monotonically decreasing
AL,2002,267,2002-09-24,0.894,,
AL,2002,282,2002-10-09,1.128,,
AL,2002,294,2002-10-21,0.886,,
AL,2002,308,2002-11-04,0.945,,
AL,2003,24,2003-01-24,0.551,,
AL,2003,57,2003-02-26,0.897,,
AL,2003,120,2003-04-30,,V,extcoef: Light not monotonically decreasing
AL,2003,135,2003-05-15,0.751,,
AL,2003,149,2003-05-29,,V,extcoef: No light data
AL,2003,162,2003-06-11,0.737,,
AL,2003,174,2003-06-23,0.674,,
AL,2003,188,2003-07-07,0.744,,
AL,2003,204,2003-07-23,0.706,,
AL,2003,218,2003-08-06,0.775,,
AL,2003,230,2003-08-18,0.779,,
AL,2003,245,2003-09-02,,V,extcoef: Light not monotonically decreasing
AL,2003,260,2003-09-17,0.85,,
AL,2003,273,2003-09-30,0.754,,
AL,2003,286,2003-10-13,0.807,,
AL,2003,303,2003-10-30,1.025,,
AL,2003,323,2003-11-19,0.722,,
AL,2004,14,2004-01-14,,V,extcoef: Insufficient light data
AL,2004,50,2004-02-19,,V,extcoef: Insufficient light data
AL,2004,91,2004-03-31,0.608,,
AL,2004,118,2004-04-27,,V,extcoef: No light data
AL,2004,131,2004-05-10,,V,extcoef: No light data
AL,2004,145,2004-05-24,0.632,,
AL,2004,159,2004-06-07,0.646,,
AL,2004,173,2004-06-21,0.724,,
AL,2004,189,2004-07-07,0.564,,
AL,2004,204,2004-07-22,0.612,,
AL,2004,215,2004-08-02,0.674,,
AL,2004,229,2004-08-16,0.627,,
AL,2004,245,2004-09-01,0.806,,
AL,2004,254,2004-09-10,0.885,,
AL,2004,274,2004-09-30,0.854,,
AL,2004,285,2004-10-11,0.724,,
AL,2004,299,2004-10-25,0.878,,
AL,2004,314,2004-11-09,0.801,,
AL,2005,10,2005-01-10,0.887,,
AL,2005,54,2005-02-23,0.688,,
AL,2005,91,2005-04-01,,V,extcoef: Light not monotonically decreasing
AL,2005,109,2005-04-19,0.965,,
AL,2005,123,2005-05-03,,V,extcoef: Light not monotonically decreasing
AL,2005,136,2005-05-16,0.478,,
AL,2005,151,2005-05-31,0.473,,
AL,2005,165,2005-06-14,0.461,,
AL,2005,178,2005-06-27,0.645,,
AL,2005,192,2005-07-11,0.617,,
AL,2005,207,2005-07-26,0.654,,
AL,2005,220,2005-08-08,0.779,,
AL,2005,235,2005-08-23,0.716,,
AL,2005,249,2005-09-06,0.775,,
AL,2005,265,2005-09-22,,V,extcoef: Light not monotonically decreasing
AL,2005,276,2005-10-03,0.868,,
AL,2005,293,2005-10-20,1.223,,
AL,2005,312,2005-11-08,0.925,,
AL,2006,10,2006-01-10,,V,extcoef: Insufficient light data
AL,2006,58,2006-02-27,0.777,,
AL,2006,87,2006-03-28,0.461,,
AL,2006,110,2006-04-20,1.079,,
AL,2006,121,2006-05-01,1.123,,
AL,2006,136,2006-05-16,0.604,,
AL,2006,150,2006-05-30,0.523,,
AL,2006,163,2006-06-12,0.558,,
AL,2006,177,2006-06-26,0.697,,
AL,2006,192,2006-07-11,0.587,,
AL,2006,206,2006-07-25,0.741,,
AL,2006,221,2006-08-09,0.582,,
AL,2006,233,2006-08-21,0.667,,
AL,2006,248,2006-09-05,0.704,,
AL,2006,262,2006-09-19,0.735,,
AL,2006,277,2006-10-04,0.837,,
AL,2006,289,2006-10-16,0.516,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,2006,304,2006-10-31,0.525,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,2007,24,2007-01-24,0.601,,
AL,2007,54,2007-02-23,,V,extcoef: Light not monotonically decreasing
AL,2007,85,2007-03-26,0.576,,
AL,2007,113,2007-04-23,0.662,,
AL,2007,127,2007-05-07,0.461,,
AL,2007,141,2007-05-21,0.506,,
AL,2007,155,2007-06-04,0.521,,
AL,2007,170,2007-06-19,,V,extcoef: Light not monotonically decreasing
AL,2007,185,2007-07-04,0.646,,
AL,2007,197,2007-07-16,,V,extcoef: Light not monotonically decreasing
AL,2007,211,2007-07-30,0.631,,
AL,2007,227,2007-08-15,0.642,,
AL,2007,242,2007-08-30,0.792,,
AL,2007,253,2007-09-10,0.767,,
AL,2007,270,2007-09-27,0.887,,
AL,2007,281,2007-10-08,0.756,,
AL,2007,295,2007-10-22,0.834,,
AL,2007,312,2007-11-08,0.541,,
AL,2008,15,2008-01-15,0.537,,
AL,2008,63,2008-03-03,0.599,,
AL,2008,85,2008-03-25,0.499,,
AL,2008,129,2008-05-08,0.776,,
AL,2008,140,2008-05-19,0.615,,
AL,2008,154,2008-06-02,0.464,,
AL,2008,171,2008-06-19,0.558,,
AL,2008,182,2008-06-30,0.641,,
AL,2008,197,2008-07-15,0.689,,
AL,2008,210,2008-07-28,0.656,,
AL,2008,225,2008-08-12,0.687,,
AL,2008,238,2008-08-25,0.891,,
AL,2008,253,2008-09-09,0.974,,
AL,2008,266,2008-09-22,0.924,,
AL,2008,280,2008-10-06,0.836,,
AL,2008,294,2008-10-20,0.67,,
AL,2008,311,2008-11-06,0.481,,
AL,2009,20,2009-01-20,,V,extcoef: No light data
AL,2009,54,2009-02-23,0.506,,
AL,2009,76,2009-03-17,0.512,,
AL,2009,117,2009-04-27,0.674,,
AL,2009,132,2009-05-12,0.545,,
AL,2009,146,2009-05-26,0.528,,
AL,2009,159,2009-06-08,0.542,,
AL,2009,173,2009-06-22,0.518,,
AL,2009,187,2009-07-06,0.578,,
AL,2009,202,2009-07-21,0.621,,
AL,2009,216,2009-08-04,0.59,,
AL,2009,231,2009-08-19,0.715,,
AL,2009,243,2009-08-31,0.911,,
AL,2009,257,2009-09-14,0.771,,
AL,2009,272,2009-09-29,1.043,,
AL,2009,287,2009-10-14,0.839,,
AL,2009,299,2009-10-26,0.556,,
AL,2009,313,2009-11-09,0.717,,
AL,2010,19,2010-01-19,0.622,,
AL,2010,47,2010-02-16,0.358,,
AL,2010,81,2010-03-22,0.534,,
AL,2010,102,2010-04-12,0.678,,
AL,2010,117,2010-04-27,0.4,,
AL,2010,132,2010-05-12,0.486,,
AL,2010,144,2010-05-24,0.501,,
AL,2010,158,2010-06-07,0.556,,
AL,2010,173,2010-06-22,,V,extcoef: Light not monotonically decreasing
AL,2010,189,2010-07-08,0.799,,
AL,2010,200,2010-07-19,0.786,,
AL,2010,214,2010-08-02,0.71,,
AL,2010,230,2010-08-18,0.848,,
AL,2010,243,2010-08-31,0.877,,
AL,2010,256,2010-09-13,1.13,,
AL,2010,272,2010-09-29,0.984,,
AL,2010,285,2010-10-12,0.973,,
AL,2010,301,2010-10-28,0.928,,
AL,2010,314,2010-11-10,0.893,,
AL,2011,19,2011-01-19,,V,extcoef: Insufficient light data
AL,2011,46,2011-02-15,,V,extcoef: Insufficient light data
AL,2011,75,2011-03-16,0.814,,
AL,2011,122,2011-05-02,1,,
AL,2011,137,2011-05-17,0.825,,
AL,2011,151,2011-05-31,0.666,,
AL,2011,164,2011-06-13,0.668,,
AL,2011,178,2011-06-27,0.622,,
AL,2011,193,2011-07-12,0.643,,
AL,2011,206,2011-07-25,0.865,,
AL,2011,220,2011-08-08,0.885,,
AL,2011,234,2011-08-22,0.707,,
AL,2011,250,2011-09-07,0.908,,
AL,2011,262,2011-09-19,0.987,,
AL,2011,278,2011-10-05,0.739,,
AL,2011,290,2011-10-17,0.852,,
AL,2011,304,2011-10-31,0.749,,
AL,2011,315,2011-11-11,0.94,,
AL,2012,16,2012-01-16,,,
AL,2012,54,2012-02-23,,,
AL,2012,94,2012-04-03,,,
AL,2012,107,2012-04-16,,,
AL,2012,121,2012-04-30,,,
AL,2012,135,2012-05-14,,,
AL,2012,150,2012-05-29,,,
AL,2012,163,2012-06-11,,,
AL,2012,178,2012-06-26,,,
AL,2012,192,2012-07-10,,,
AL,2012,207,2012-07-25,,,
AL,2012,219,2012-08-06,,,
AL,2012,233,2012-08-20,,,
AL,2012,248,2012-09-04,,,
AL,2012,263,2012-09-19,,,
AL,2012,275,2012-10-01,,,
AL,2012,292,2012-10-18,,,
AL,2012,306,2012-11-01,,,
AL,2012,314,2012-11-09,,,
BM,1981,155,1981-06-04,,V,extcoef: No light data
BM,1981,168,1981-06-17,0.37,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,181,1981-06-30,0.399,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,195,1981-07-14,0.349,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,209,1981-07-28,0.395,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,223,1981-08-11,0.409,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,238,1981-08-26,0.315,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,257,1981-09-14,0.345,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,266,1981-09-23,0.347,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,293,1981-10-20,,V,extcoef: Insufficient light data
BM,1981,334,1981-11-30,0.424,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1982,25,1982-01-25,,V,extcoef: No light data
BM,1982,56,1982-02-25,,V,extcoef: No light data
BM,1982,97,1982-04-07,,V,extcoef: No light data
BM,1982,131,1982-05-11,,V,extcoef: Light not monotonically decreasing
BM,1982,145,1982-05-25,,V,extcoef: Light not monotonically decreasing
BM,1982,160,1982-06-09,0.233,,
BM,1982,172,1982-06-21,0.208,,
BM,1982,189,1982-07-08,,V,extcoef: No light data
BM,1982,202,1982-07-21,,V,extcoef: No light data
BM,1982,217,1982-08-05,,V,extcoef: No light data
BM,1982,230,1982-08-18,0.29,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1982,251,1982-09-08,0.26,,
BM,1982,264,1982-09-21,0.322,,
BM,1982,279,1982-10-06,0.266,,
BM,1982,291,1982-10-18,0.284,,
BM,1982,313,1982-11-09,0.24,,
BM,1982,337,1982-12-03,,V,extcoef: No light data
BM,1983,12,1983-01-12,,V,extcoef: No light data
BM,1983,48,1983-02-17,,V,extcoef: No light data
BM,1983,82,1983-03-23,,V,extcoef: No light data
BM,1983,130,1983-05-10,0.242,,
BM,1983,146,1983-05-26,0.252,,
BM,1983,157,1983-06-06,0.245,,
BM,1983,173,1983-06-22,0.269,,
BM,1983,187,1983-07-06,0.276,,
BM,1983,199,1983-07-18,0.338,,
