










Data Set Title: North Temperate Lakes LTER: Chlorophyll - Trout Lake Area

Investigator(s): NTL LTER Lead PI, North Temperate Lakes LTER

Contact(s): NTL LTER Lead PI; Center for Limnology, 680 N Park St, Madison, WI, 53706-1492, USA;(phone) 608-263-2567;(fax) 608-265-2340;(email) ehstanley@wisc.edu;
NTL LTER Information Manager; Center for Limnology, 680 N Park St, Madison, WI, 53706-1492, USA;(phone) 608-890-3446;(fax) 608-265-2340;(email) infomgr@lter.limnology.wisc.edu;

Abstract: Chlorophyll and phaeopigments are measured at our permanent sampling station in the deepest part of each lake. Chlorophyll samples are collected from the seven primary study lakes (Allequash, Big Muskellunge, Crystal, Sparkling, and Trout lakes and bog lakes 27-02 [Crystal Bog], and 12-15 [Trout Bog]) in the Trout Lake area at two to 10 depths depending on the lake and analyzed spectrophotometrically. 

Sampling Frequency: fortnightly during ice-free season - every 6 weeks during ice-covered season

Number of sites: 7

Initiation of study (mm/dd/yy): 06/30/1981


Data Table: North Temperate Lakes LTER: Chlorophyll - Trout Lake Area

Variables: 

LAKEID = lake name abbreviation
YEAR4 = year
DAYNUM = day of year
SAMPLEDATE = sample date
REP = replicate number
STA = station number
DEPTH = depth (meter)
CHLOR = chlorophyll a concentration (microgramPerLiter)
PHAEO = phaeophyton  concentration (microgramPerLiter)
FLAGCHLOR = data flag for chlor
FLAGPHAEO = data flag for phaeo


Variable Codes: 



LAKEID

AL = Allequash Lake
BM = Big Muskellunge Lake
CB = Bog 27-2  (Crystal Bog)
CR = Crystal Lake
SP = Sparkling Lake
TB = Bog 12-15  (Trout Bog)
TR = Trout Lake





Flags: 

A = Sample suspect
B = Standard curve/reduction suspect
C = No sample taken
D = Sample lost
E = Average of duplicate analyses
F = Duplicate analyses in error
G = Analysed late
H = Outside of standard range
I = Outside of data entry constraints 
J = Non standard routine followed
K = Data suspect
L = Data point and blind value differ by more than 15% 
M = More than two flags (See original data sheets)
N = Sample retested 
O = Value suspect but total pigment(CHL + PHAEO) value accurate 
P = TPM uncorrected for humidity change between filter weighing
Q = Quality control comments on SLOH lab sheet
R = Value between LOD (Limit of Detection)  and LOQ (Limit of Quantification)
S = Value below detection limit; set to zero
T = Sample contaminated; data not reported
U = Equipment malfunction produced bad value; value set to missing;
V = Frlight could not be computed; set to missing
W = negative light value; set to zero




From the North Temperate Lakes LTER database at: Tue Apr 26 13:16:32 CDT 2011
Dataset Results:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAKEID,YEAR4,DAYNUM,SAMPLEDATE,REP,STA,DEPTH,CHLOR,PHAEO
BM,1990,23,01/23/1990,1,1,16,.1,.3
BM,1982,25,01/25/1982,1,1,0,5,
BM,1982,25,01/25/1982,1,1,3,3.3,
BM,1982,25,01/25/1982,1,1,8,2.8,
BM,1982,25,01/25/1982,1,1,10,3.7,
BM,1982,25,01/25/1982,1,1,16,3,
BM,1982,25,01/25/1982,1,1,18,4.2,
BM,1983,48,02/17/1983,1,1,5,.1,-.1
BM,1983,48,02/17/1983,1,1,10,0,.1
BM,1983,48,02/17/1983,1,1,12,.1,-.1
BM,1983,48,02/17/1983,1,1,16,0,.2
BM,1983,48,02/17/1983,1,1,19,0,.4
BM,1990,51,02/20/1990,1,1,0,.4,.1
BM,1990,51,02/20/1990,1,1,3,0,.2
BM,1990,51,02/20/1990,1,1,5,.1,.1
BM,1990,51,02/20/1990,1,1,8,0,.3
BM,1990,51,02/20/1990,1,1,12,0,.2
BM,1991,52,02/21/1991,1,1,0,2.6,0
BM,1991,52,02/21/1991,1,1,3,.9,.2
BM,1991,52,02/21/1991,1,1,5,.4,.1
BM,1991,52,02/21/1991,1,1,8,.1,.1
BM,1991,52,02/21/1991,1,1,12,0,.3
BM,1991,52,02/21/1991,1,1,16,.1,.4
BM,1984,54,02/23/1984,1,1,0,.1,0
BM,1988,187,07/05/1988,1,1,16,2.1,.8
BM,1988,187,07/05/1988,1,1,19,2.1,.5
BM,1982,189,07/08/1982,1,1,0,1.7,0
BM,1982,189,07/08/1982,1,1,3,1.8,0
BM,1982,189,07/08/1982,1,1,5,1.6,.2
BM,1982,189,07/08/1982,1,1,8,2.1,0
BM,1982,189,07/08/1982,1,1,10,.8,.3
BM,1982,189,07/08/1982,1,1,12,1.1,.1
BM,1982,189,07/08/1982,1,1,16,.7,.1
BM,1982,189,07/08/1982,1,1,19,1.4,1.1
BM,1985,190,07/09/1985,1,1,0,3.1,.2
BM,1985,190,07/09/1985,1,1,3,3,0
BM,1985,190,07/09/1985,1,1,5,5.4,-.5
BM,1985,190,07/09/1985,1,1,8,6.7,1.1
BM,1985,190,07/09/1985,1,1,10,4.7,1.2
BM,1985,190,07/09/1985,1,1,16,1.4,1.1
BM,1985,190,07/09/1985,1,1,19,2.8,2.2
BM,1990,190,07/09/1990,1,1,0,1.7,1
BM,1990,190,07/09/1990,1,1,3,1.4,1.5
BM,1990,190,07/09/1990,1,1,5,1.8,1.2
BM,1990,190,07/09/1990,1,1,10,3.5,2.2
BM,1990,190,07/09/1990,1,1,12,3.7,1.9
BM,1990,190,07/09/1990,1,1,16,2.3,1.9
BM,1990,190,07/09/1990,1,1,19,4.1,3.1
BM,1992,190,07/08/1992,1,1,3,1.3,.3
BM,1992,190,07/08/1992,1,1,8,2.9,1.2
BM,1992,190,07/08/1992,1,1,10,3.8,.7
BM,1992,190,07/08/1992,1,1,19,1.1,.6
BM,1989,191,07/10/1989,1,1,0,1.4,.3
BM,1989,191,07/10/1989,1,1,3,1.3,.5
BM,1989,191,07/10/1989,1,1,5,1.8,.5
BM,1989,191,07/10/1989,1,1,8,2.6,.9
BM,1989,191,07/10/1989,1,1,10,3.6,.9
BM,1989,191,07/10/1989,1,1,16,2.2,.9
BM,1981,195,07/14/1981,1,1,0,3.1,
BM,1981,195,07/14/1981,1,1,3,2.4,
AL,1991,169,06/18/1991,1,1,4,2.4,1.8
AL,1991,169,06/18/1991,1,1,6,-1.4,3.1
AL,1991,169,06/18/1991,1,1,7,4.4,.6
AL,1992,171,06/19/1992,1,1,0,5.4,.4
AL,1992,171,06/19/1992,1,1,2,5.5,.3
AL,1992,171,06/19/1992,1,1,4,7.4,-1.4
AL,1992,171,06/19/1992,1,1,6,10.5,-4.7
AL,1992,171,06/19/1992,1,1,7,199.1,-85.9
AL,1988,172,06/20/1988,1,1,0,2.2,.2
AL,1988,172,06/20/1988,1,1,2,2.5,.4
AL,1988,172,06/20/1988,1,1,4,2.4,.5
AL,1983,173,06/22/1983,1,1,0,2.4,.4
AL,1983,173,06/22/1983,1,1,4,10.4,.4
AL,1983,173,06/22/1983,1,1,6,6,2.4
AL,1983,173,06/22/1983,1,1,7,6.8,18.2
AL,1984,173,06/21/1984,1,1,4,13.1,-1.1
AL,1984,173,06/21/1984,1,1,5,8.2,.3
AL,1984,173,06/21/1984,1,1,6,8.6,-.1
AL,1984,173,06/21/1984,1,1,7,25.8,118
AL,1985,175,06/24/1985,1,1,2,8,-.8
AL,1985,175,06/24/1985,1,1,4,7.4,-.4
AL,1985,175,06/24/1985,1,1,6,6.1,-1
AL,1985,175,06/24/1985,1,1,7,2.1,.9
AL,1982,176,06/25/1982,1,1,0,6,.1
AL,1982,176,06/25/1982,1,1,2,4.2,.2
AL,1982,176,06/25/1982,1,1,4,5.5,.5
AL,1982,176,06/25/1982,1,1,6,4.1,2.3
AL,1982,176,06/25/1982,1,1,7,8.5,180.8
AL,1990,178,06/27/1990,1,1,2,1.9,2.3
AL,1990,178,06/27/1990,1,1,4,.7,4.3
AL,1990,178,06/27/1990,1,1,6,3.2,1.3
AL,1989,179,06/28/1989,1,1,2,3.3,1.1
AL,1989,179,06/28/1989,1,1,6,8.2,2.2
AL,1987,180,06/29/1987,1,1,0,2.7,0
AL,1987,180,06/29/1987,1,1,2,2.4,.4
AL,1987,180,06/29/1987,1,1,4,2.7,.1
AL,1987,180,06/29/1987,1,1,7,23.1,41.8
AL,1981,183,07/02/1981,1,1,0,1.8,
AL,1981,183,07/02/1981,1,1,2,2.8,
AL,1981,183,07/02/1981,1,1,4,7.8,
AL,1981,183,07/02/1981,1,1,6,5.6,
AL,1986,183,07/02/1986,1,1,0,4.4,0
AL,1986,183,07/02/1986,1,1,4,3.5,.9
AL,1986,183,07/02/1986,1,1,6,2.8,1.3
AL,1986,183,07/02/1986,1,1,7,37.9,57
BM,1984,54,02/23/1984,1,1,5,.1,0
BM,1984,54,02/23/1984,1,1,8,.1,-.1
BM,1984,54,02/23/1984,1,1,10,0,0
BM,1984,54,02/23/1984,1,1,12,0,.1
BM,1982,56,02/25/1982,1,1,0,1.6,
BM,1982,56,02/25/1982,1,1,5,.4,
BM,1982,56,02/25/1982,1,1,8,.3,
BM,1982,56,02/25/1982,1,1,10,.4,
BM,1982,56,02/25/1982,1,1,12,.4,
BM,1982,56,02/25/1982,1,1,16,.3,
BM,1982,56,02/25/1982,1,1,19,7.7,
BM,1987,56,02/25/1987,1,1,5,.1,0
BM,1987,56,02/25/1987,1,1,8,0,.1
BM,1987,56,02/25/1987,1,1,10,0,.1
BM,1987,56,02/25/1987,1,1,12,0,.1
BM,1992,56,02/25/1992,1,1,0,.7,.2
BM,1992,56,02/25/1992,1,1,3,.5,.3
BM,1992,56,02/25/1992,1,1,8,.1,.4
BM,1992,56,02/25/1992,1,1,10,.1,.4
BM,1992,56,02/25/1992,1,1,16,.3,.3
BM,1992,56,02/25/1992,1,1,18,2.9,1.8
BM,1985,57,02/26/1985,1,1,0,.4,0
BM,1985,57,02/26/1985,1,1,5,.4,-.1
BM,1985,57,02/26/1985,1,1,8,0,.1
BM,1985,57,02/26/1985,1,1,10,0,-.1
BM,1985,57,02/26/1985,1,1,16,.1,.2
BM,1985,57,02/26/1985,1,1,19,.3,.6
BM,1986,57,02/26/1986,1,1,3,.2,.1
BM,1986,57,02/26/1986,1,1,5,.1,.1
BM,1986,57,02/26/1986,1,1,8,0,.1
BM,1986,57,02/26/1986,1,1,12,0,0
BM,1986,57,02/26/1986,1,1,16,.2,-.1
BM,1989,59,02/28/1989,1,1,3,.5,-.1
BM,1981,195,07/14/1981,1,1,10,9.1,
BM,1981,195,07/14/1981,1,1,12,12.5,
BM,1981,195,07/14/1981,1,1,16,6,
BM,1981,195,07/14/1981,1,1,19,12.3,
BM,1987,195,07/14/1987,1,1,0,1.4,.4
BM,1987,195,07/14/1987,1,1,5,1.7,0
BM,1987,195,07/14/1987,1,1,12,4.2,1.6
BM,1992,196,07/14/1992,1,1,0,2.3,-.6
BM,1992,196,07/14/1992,1,1,3,3.6,-1.7
BM,1992,196,07/14/1992,1,1,5,-1.1,6.1
BM,1992,196,07/14/1992,1,1,8,.5,5.8
BM,1992,196,07/14/1992,1,1,10,3.1,1
BM,1992,196,07/14/1992,1,1,12,-1.1,6.8
BM,1992,196,07/14/1992,1,1,16,2.1,-.8
BM,1986,197,07/16/1986,1,1,3,3.4,.6
BM,1986,197,07/16/1986,1,1,5,3.7,.8
BM,1986,197,07/16/1986,1,1,8,4.7,1.1
BM,1986,197,07/16/1986,1,1,10,2.7,5.1
BM,1986,197,07/16/1986,1,1,12,1.3,10
AL,1991,184,07/03/1991,1,1,0,2,5.6
AL,1991,184,07/03/1991,1,1,2,3.4,3.8
AL,1991,184,07/03/1991,1,1,4,3,4.8
AL,1991,184,07/03/1991,1,1,7,35.1,-22.9
AL,1984,185,07/03/1984,1,1,0,5.1,-.6
AL,1984,185,07/03/1984,1,1,2,5.1,-.5
AL,1984,185,07/03/1984,1,1,3,5.1,-.3
AL,1984,185,07/03/1984,1,1,4,17.5,-2.9
AL,1984,185,07/03/1984,1,1,6,7.7,.4
AL,1984,185,07/03/1984,1,1,7,47.3,.9
AL,1982,186,07/05/1982,1,1,0,2.5,.4
AL,1982,186,07/05/1982,1,1,2,3.1,.1
AL,1982,186,07/05/1982,1,1,6,7.1,1.7
AL,1982,186,07/05/1982,1,1,7,63.8,64.5
AL,1983,186,07/05/1983,1,1,0,4.6,-.2
AL,1983,186,07/05/1983,1,1,2,7.8,.1
AL,1983,186,07/05/1983,1,1,3,10.1,-1.1
AL,1983,186,07/05/1983,1,1,4,9.9,-.9
AL,1983,186,07/05/1983,1,1,5,5.1,.4
AL,1983,186,07/05/1983,1,1,6,9.9,1.4
AL,1983,186,07/05/1983,1,1,7,29.5,29.6
AL,1988,186,07/04/1988,1,1,0,2.6,.2
AL,1988,186,07/04/1988,1,1,2,2.5,.3
AL,1988,186,07/04/1988,1,1,4,4.9,.5
AL,1988,186,07/04/1988,1,1,6,9.8,2.4
AL,1988,186,07/04/1988,1,1,7,20.2,4.4
AL,1992,189,07/07/1992,1,1,2,11,.2
AL,1992,189,07/07/1992,1,1,7,78.3,11
AL,1985,192,07/11/1985,1,1,0,4.7,.9
AL,1985,192,07/11/1985,1,1,2,7.3,-1.2
AL,1985,192,07/11/1985,1,1,4,11.1,1
AL,1985,192,07/11/1985,1,1,6,2.4,3.6
AL,1989,193,07/12/1989,1,1,2,5.3,.7
AL,1989,193,07/12/1989,1,1,4,8,2.1
AL,1989,193,07/12/1989,1,1,6,7.1,3.1
AL,1987,194,07/13/1987,1,1,0,7.6,.5
AL,1987,194,07/13/1987,1,1,2,6.8,.8
AL,1987,194,07/13/1987,1,1,6,3.5,1.6
AL,1991,196,07/15/1991,1,1,0,4.6,-1
BM,1989,59,02/28/1989,1,1,5,.5,-.2
BM,1989,59,02/28/1989,1,1,8,.2,0
BM,1989,59,02/28/1989,1,1,10,.2,-.1
BM,1989,59,02/28/1989,1,1,12,.1,.1
BM,1989,59,02/28/1989,1,1,16,.1,.1
BM,1989,59,02/28/1989,1,1,19,.8,2.6
BM,1988,61,03/01/1988,1,1,0,4.3,.4
BM,1988,61,03/01/1988,1,1,3,.8,.4
BM,1988,61,03/01/1988,1,1,5,.6,.1
BM,1988,61,03/01/1988,1,1,8,.4,0
BM,1988,61,03/01/1988,1,1,12,.3,.3
BM,1983,82,03/23/1983,1,1,0,4.2,-.4
BM,1983,82,03/23/1983,1,1,3,2.1,-.2
BM,1983,82,03/23/1983,1,1,8,.9,.1
BM,1983,82,03/23/1983,1,1,10,.4,.1
BM,1983,82,03/23/1983,1,1,12,.1,.1
BM,1983,82,03/23/1983,1,1,16,.3,.1
BM,1983,82,03/23/1983,1,1,19,.5,-.1
BM,1987,83,03/24/1987,1,1,0,.1,.2
BM,1987,83,03/24/1987,1,1,3,1.5,.3
BM,1987,83,03/24/1987,1,1,5,3.1,.5
BM,1987,83,03/24/1987,1,1,8,5.8,.6
BM,1987,83,03/24/1987,1,1,10,1.8,.2
BM,1987,83,03/24/1987,1,1,12,.7,.1
BM,1987,83,03/24/1987,1,1,16,.3,.2
BM,1987,83,03/24/1987,1,1,19,.3,1.4
BM,1991,85,03/26/1991,1,1,3,.4,.4
BM,1991,85,03/26/1991,1,1,5,.4,.4
BM,1991,85,03/26/1991,1,1,8,.3,.4
BM,1991,85,03/26/1991,1,1,12,0,.3
BM,1991,85,03/26/1991,1,1,16,0,.5
BM,1985,86,03/27/1985,1,1,0,0,-.1
BM,1985,86,03/27/1985,1,1,5,1.1,-.2
BM,1985,86,03/27/1985,1,1,8,.9,-.1
BM,1985,86,03/27/1985,1,1,10,.3,.2
BM,1985,86,03/27/1985,1,1,12,.4,-.1
BM,1985,86,03/27/1985,1,1,16,.1,.3
BM,1985,86,03/27/1985,1,1,19,1.3,1.6
BM,1986,197,07/16/1986,1,1,19,.4,10.3
BM,1983,199,07/18/1983,1,1,0,1.6,-.3
BM,1983,199,07/18/1983,1,1,5,2.9,.4
BM,1983,199,07/18/1983,1,1,8,4.3,1
BM,1983,199,07/18/1983,1,1,10,20.5,-1.8
BM,1983,199,07/18/1983,1,1,16,1.4,.2
BM,1983,199,07/18/1983,1,1,19,.5,.2
BM,1984,199,07/17/1984,1,1,0,2.9,.6
BM,1984,199,07/17/1984,1,1,5,3.9,.4
BM,1984,199,07/17/1984,1,1,8,8.6,-1.2
BM,1984,199,07/17/1984,1,1,9,32.4,-12.6
BM,1984,199,07/17/1984,1,1,10,19.8,-2.8
BM,1984,199,07/17/1984,1,1,12,6.8,.6
BM,1984,199,07/17/1984,1,1,18,8,5
BM,1982,202,07/21/1982,1,1,0,1.4,.4
BM,1982,202,07/21/1982,1,1,3,1.6,-.1
BM,1982,202,07/21/1982,1,1,8,2.1,.5
BM,1982,202,07/21/1982,1,1,12,1.4,-.1
BM,1982,202,07/21/1982,1,1,16,.8,0
BM,1982,202,07/21/1982,1,1,19,6.3,.5
BM,1988,202,07/20/1988,1,1,3,1.5,-.1
BM,1988,202,07/20/1988,1,1,5,1.8,-.2
BM,1988,202,07/20/1988,1,1,8,2.9,.6
BM,1988,202,07/20/1988,1,1,10,3.4,.4
BM,1988,202,07/20/1988,1,1,19,3.1,2.6
BM,1985,206,07/25/1985,1,1,3,2,.2
BM,1985,206,07/25/1985,1,1,5,2.2,.2
BM,1985,206,07/25/1985,1,1,8,2.5,.6
BM,1985,206,07/25/1985,1,1,19,9.5,13.3
BM,1989,206,07/25/1989,1,1,0,1,.3
BM,1989,206,07/25/1989,1,1,3,1,.2
BM,1989,206,07/25/1989,1,1,5,1,.3
BM,1989,206,07/25/1989,1,1,10,2.4,1
AL,1991,196,07/15/1991,1,1,2,6.1,-2.8
AL,1991,196,07/15/1991,1,1,7,98.5,-25.9
AL,1981,197,07/16/1981,1,1,0,9.3,
AL,1981,197,07/16/1981,1,1,2,10.7,
AL,1981,197,07/16/1981,1,1,6,55.3,
AL,1981,197,07/16/1981,1,1,7.5,126.4,
AL,1986,197,07/16/1986,1,1,0,3.3,.7
AL,1986,197,07/16/1986,1,1,2,5.5,.8
AL,1986,197,07/16/1986,1,1,4,10.4,2.3
AL,1986,197,07/16/1986,1,1,6,1.2,1
AL,1992,197,07/15/1992,1,1,0,6.5,.4
AL,1992,197,07/15/1992,1,1,2,4.6,1.8
AL,1992,197,07/15/1992,1,1,4,12,3.6
AL,1992,197,07/15/1992,1,1,6,7.5,3.4
AL,1992,197,07/15/1992,1,1,7,97.4,61.6
AL,1984,200,07/18/1984,1,1,2,6.4,-1.2
AL,1984,200,07/18/1984,1,1,5,6.9,.5
AL,1984,200,07/18/1984,1,1,6,7.6,.4
AL,1983,201,07/20/1983,1,1,0,1.1,1
AL,1983,201,07/20/1983,1,1,2,1.8,.5
AL,1983,201,07/20/1983,1,1,4,9,.6
AL,1983,201,07/20/1983,1,1,5,14.9,3
AL,1983,201,07/20/1983,1,1,6,32.4,-2.7
AL,1983,201,07/20/1983,1,1,7,133.7,70.4
AL,1988,201,07/19/1988,1,1,0,2.2,.5
AL,1988,201,07/19/1988,1,1,2,3.5,-.1
AL,1988,201,07/19/1988,1,1,4,4.8,.9
AL,1982,202,07/21/1982,1,1,0,3.8,-.1
AL,1982,202,07/21/1982,1,1,2,3.9,.3
AL,1982,202,07/21/1982,1,1,3,6.5,.7
AL,1985,204,07/23/1985,1,1,0,6.1,.6
AL,1985,204,07/23/1985,1,1,2,8.4,-1.1
AL,1985,204,07/23/1985,1,1,6,24.7,10.4
AL,1990,205,07/24/1990,1,1,2,2.1,1.7
AL,1990,205,07/24/1990,1,1,4,4,1.2
AL,1990,205,07/24/1990,1,1,7,14.3,65.2
AL,1989,206,07/25/1989,1,1,4,6.4,2.4
AL,1989,206,07/25/1989,1,1,7,19.7,6.3
AL,1987,208,07/27/1987,1,1,0,4.3,.6
BM,1992,87,03/27/1992,1,1,0,.3,.4
BM,1992,87,03/27/1992,1,1,3,3.7,.6
BM,1992,87,03/27/1992,1,1,5,5.4,-1
BM,1992,87,03/27/1992,1,1,8,5.7,-3.8
BM,1992,87,03/27/1992,1,1,12,1.2,.4
BM,1992,87,03/27/1992,1,1,16,1,1
BM,1992,87,03/27/1992,1,1,19,6.5,2.8
BM,1990,88,03/29/1990,1,1,3,2.4,.4
BM,1990,88,03/29/1990,1,1,5,2.9,.5
BM,1990,88,03/29/1990,1,1,8,2.6,.5
BM,1990,88,03/29/1990,1,1,10,1.3,.2
BM,1990,88,03/29/1990,1,1,16,.6,.5
BM,1990,88,03/29/1990,1,1,18,.5,1.8
BM,1989,90,03/31/1989,1,1,3,.4,.1
BM,1989,90,03/31/1989,1,1,5,.6,.7
BM,1989,90,03/31/1989,1,1,8,.4,.4
BM,1989,90,03/31/1989,1,1,10,.4,.2
BM,1989,90,03/31/1989,1,1,12,.2,.1
BM,1989,90,03/31/1989,1,1,15,.3,.2
BM,1989,90,03/31/1989,1,1,19,.4,1.5
BM,1986,91,04/01/1986,1,1,0,.1,.3
BM,1986,91,04/01/1986,1,1,3,.2,0
BM,1986,91,04/01/1986,1,1,8,.3,.1
BM,1986,91,04/01/1986,1,1,12,.1,.2
BM,1984,95,04/04/1984,1,1,0,.3,0
BM,1984,95,04/04/1984,1,1,3,1.2,.1
BM,1984,95,04/04/1984,1,1,8,1.7,.2
BM,1984,95,04/04/1984,1,1,10,3.9,-.3
BM,1984,95,04/04/1984,1,1,12,3,.1
BM,1989,206,07/25/1989,1,1,16,5.5,2.2
BM,1989,206,07/25/1989,1,1,18,4.5,2.5
BM,1990,207,07/26/1990,1,1,0,1,.8
BM,1990,207,07/26/1990,1,1,3,1.2,.9
BM,1990,207,07/26/1990,1,1,8,1.3,1.8
BM,1990,207,07/26/1990,1,1,12,2.8,4.2
BM,1981,209,07/28/1981,1,1,3,1.7,
BM,1981,209,07/28/1981,1,1,5,5.4,
BM,1981,209,07/28/1981,1,1,8,19.2,
BM,1981,209,07/28/1981,1,1,10,9.5,
BM,1981,209,07/28/1981,1,1,12,12.1,
BM,1981,209,07/28/1981,1,1,16,7.7,
BM,1981,209,07/28/1981,1,1,20,20.5,
BM,1987,209,07/28/1987,1,1,0,1.5,.2
BM,1987,209,07/28/1987,1,1,8,13.4,-17
BM,1987,209,07/28/1987,1,1,10,4.5,1.3
BM,1987,209,07/28/1987,1,1,12,3.5,2.2
BM,1987,209,07/28/1987,1,1,16,2.4,4.5
BM,1987,209,07/28/1987,1,1,19,1.6,5.9
BM,1991,210,07/29/1991,1,1,0,1.9,-.1
BM,1991,210,07/29/1991,1,1,3,1.2,.8
BM,1991,210,07/29/1991,1,1,5,3.1,-1.3
BM,1991,210,07/29/1991,1,1,8,3.4,-.7
BM,1986,211,07/30/1986,1,1,3,1.3,.1
BM,1986,211,07/30/1986,1,1,5,1.1,.2
BM,1986,211,07/30/1986,1,1,10,6.5,1.3
