LAKEID,YEAR4,DAYNUM,SAMPLEDATE,EXTCOEF,LIGHTEXT_FLAG,COMMENTS
AL,1988,11,01/11/1988,,V,extcoef: Insufficient light data
AL,1986,16,01/16/1986,,V,extcoef: Insufficient light data
AL,1983,17,01/17/1983,,V,extcoef: No light data
AL,1991,17,01/17/1991,.907,,
AL,1992,17,01/17/1992,,V,extcoef: Insufficient light data
AL,1987,20,01/20/1987,,V,extcoef: Insufficient light data
AL,1982,26,01/26/1982,,V,extcoef: No light data
AL,1991,50,02/19/1991,,V,extcoef: Insufficient light data
AL,1985,56,02/25/1985,1.139,,
AL,1990,58,02/27/1990,,V,extcoef: Insufficient light data
AL,1984,60,02/29/1984,,V,extcoef: No light data
AL,1986,62,03/03/1986,,V,extcoef: Insufficient light data
AL,1989,65,03/06/1989,,V,extcoef: Insufficient light data
AL,1983,82,03/23/1983,,V,extcoef: No light data
AL,1992,83,03/23/1992,.948,,
AL,1991,84,03/25/1991,.739,,
AL,1989,86,03/27/1989,1.611,,
AL,1990,86,03/27/1990,,V,extcoef: No light data
AL,1986,90,03/31/1986,,V,extcoef: Ice depth is missing
AL,1984,94,04/03/1984,,V,extcoef: No light data
AL,1992,126,05/05/1992,1.178,,
AL,1991,127,05/07/1991,.771,,
AL,1984,130,05/09/1984,,V,extcoef: No light data
AL,1992,139,05/18/1992,.786,,
AL,1982,145,05/25/1982,.745,,
AL,1983,145,05/25/1983,.775,,
AL,1990,150,05/30/1990,.542,,
AL,1983,159,06/08/1983,.853,,
AL,1983,201,07/20/1983,.774,,
AL,1985,204,07/23/1985,.864,,
AL,1982,217,08/05/1982,,V,extcoef: No light data
AL,1988,231,08/18/1988,.697,,
AL,1991,239,08/27/1991,.79,,
AL,1987,264,09/21/1987,1.02,,
AL,1983,291,10/18/1983,.998,,
AL,1982,334,11/30/1982,,V,extcoef: No light data
BM,1986,8,01/08/1986,,V,extcoef: Insufficient light data
BM,1985,9,01/09/1985,.499,,
BM,1984,10,01/10/1984,,V,extcoef: No light data
BM,1983,12,01/12/1983,,V,extcoef: No light data
BM,1988,12,01/12/1988,,V,extcoef: Light not monotonically decreasing
BM,1992,13,01/13/1992,.331,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1991,14,01/14/1991,,V,extcoef: Insufficient light data
BM,1989,17,01/17/1989,,V,extcoef: Insufficient light data
BM,1982,25,01/25/1982,,V,extcoef: No light data
BM,1990,51,02/20/1990,,V,extcoef: Insufficient light data
BM,1991,52,02/21/1991,.271,,
BM,1984,54,02/23/1984,,V,extcoef: No light data
BM,1992,56,02/25/1992,,V,extcoef: Insufficient light data
BM,1985,57,02/26/1985,.553,,
BM,1986,57,02/26/1986,,V,extcoef: Insufficient light data
BM,1989,59,02/28/1989,,V,extcoef: Insufficient light data
BM,1988,61,03/01/1988,.432,,
BM,1983,82,03/23/1983,,V,extcoef: No light data
BM,1992,87,03/27/1992,.303,,
BM,1990,88,03/29/1990,,V,extcoef: No light data
BM,1986,91,04/01/1986,.224,,
BM,1984,95,04/04/1984,,V,extcoef: No light data
BM,1982,97,04/07/1982,,V,extcoef: No light data
BM,1988,97,04/06/1988,.273,,
BM,1989,122,05/02/1989,.294,,
BM,1991,126,05/06/1991,.315,,
BM,1984,128,05/07/1984,.237,,
BM,1982,131,05/11/1982,,V,extcoef: Light not monotonically decreasing
BM,1989,135,05/15/1989,.344,,
BM,1986,139,05/19/1986,.269,,
BM,1982,145,05/25/1982,,V,extcoef: Light not monotonically decreasing
BM,1983,146,05/26/1983,.252,,
BM,1990,151,05/31/1990,,V,extcoef: Light not monotonically decreasing
BM,1991,156,06/05/1991,,V,extcoef: Light not monotonically decreasing
BM,1982,160,06/09/1982,.233,,
BM,1987,162,06/11/1987,.261,,
BM,1982,172,06/21/1982,.208,,
BM,1985,177,06/26/1985,.321,,
BM,1982,189,07/08/1982,,V,extcoef: No light data
BM,1987,195,07/14/1987,.336,,
BM,1982,202,07/21/1982,,V,extcoef: No light data
BM,1985,206,07/25/1985,,V,extcoef: Light not monotonically decreasing
BM,1987,209,07/28/1987,.323,,
BM,1982,217,08/05/1982,,V,extcoef: No light data
BM,1988,231,08/18/1988,.289,,
BM,1990,233,08/21/1990,.324,,
BM,1987,266,09/23/1987,.328,,
BM,1984,289,10/15/1984,.358,,
BM,1983,290,10/17/1983,.357,,
BM,1983,306,11/02/1983,.275,,
BM,1988,312,11/07/1988,.238,,
BM,1982,337,12/03/1982,,V,extcoef: No light data
CB,1984,5,01/05/1984,,V,extcoef: No light data
CB,1983,11,01/11/1983,,V,extcoef: No light data
CB,1986,13,01/13/1986,,V,extcoef: Insufficient light data
CB,1985,15,01/15/1985,,V,extcoef: Insufficient light data
CB,1992,15,01/15/1992,,V,extcoef: Insufficient light data
CB,1982,18,01/18/1982,,V,extcoef: No light data
CB,1989,19,01/19/1989,,V,extcoef: Insufficient light data
CB,1987,20,01/20/1987,,V,extcoef: Insufficient light data
CB,1988,20,01/20/1988,,V,extcoef: No light data
CB,1984,51,02/20/1984,,V,extcoef: No light data
CB,1989,52,02/21/1989,,V,extcoef: Insufficient light data
CB,1986,56,02/25/1986,,V,extcoef: Insufficient light data
CB,1985,57,02/26/1985,2.064,J,extcoef: Calculated from 2 frlight values
CB,1988,60,02/29/1988,,V,extcoef: Insufficient light data
CB,1985,85,03/26/1985,2.213,,
CB,1992,85,03/25/1992,3.067,,
CB,1989,87,03/28/1989,.197,,
CB,1990,87,03/28/1990,,V,extcoef: No light data
CB,1984,100,04/09/1984,,V,extcoef: No light data
CB,1989,124,05/04/1989,2.247,J,extcoef: Calculated from 2 frlight values
CB,1988,132,05/11/1988,1.801,J,extcoef: Calculated from 2 frlight values
CB,1990,150,05/30/1990,1.474,,
CB,1982,335,12/01/1982,,V,extcoef: No light data
CR,1985,10,01/10/1985,.291,,
CR,1992,13,01/13/1992,,V,extcoef: Insufficient light data
CR,1983,14,01/14/1983,,V,extcoef: No light data
CR,1987,14,01/14/1987,.224,,
CR,1991,14,01/14/1991,.299,,
CR,1986,15,01/15/1986,.224,,
CR,1989,18,01/18/1989,,V,extcoef: Insufficient light data
CR,1982,22,01/22/1982,,V,extcoef: No light data
CR,1990,50,02/19/1990,,V,extcoef: Insufficient light data
CR,1989,51,02/20/1989,0,,
CR,1991,52,02/21/1991,.246,,
CR,1986,55,02/24/1986,,V,extcoef: Ice depth is missing
CR,1992,55,02/24/1992,,V,extcoef: Light not monotonically decreasing
CR,1985,59,02/28/1985,.238,,
CR,1982,60,03/01/1982,,V,extcoef: No light data
CR,1984,60,02/29/1984,,V,extcoef: No light data
CR,1988,62,03/02/1988,.209,,
CR,1992,86,03/26/1992,.214,,
CR,1985,87,03/28/1985,.172,,
CR,1989,88,03/29/1989,,V,extcoef: No light data
CR,1990,88,03/29/1990,,V,extcoef: No light data
CR,1986,92,04/02/1986,.161,,
CR,1988,96,04/05/1988,.174,,
CR,1984,103,04/12/1984,,V,extcoef: No light data
CR,1989,122,05/02/1989,.231,,
CR,1990,123,05/03/1990,.27,,
CR,1984,129,05/08/1984,.216,,
CR,1982,130,05/10/1982,.216,,
CR,1987,140,05/20/1987,.174,,
CR,1982,147,05/27/1982,.289,,
CR,1990,151,05/31/1990,.214,,
CR,1985,163,06/12/1985,.256,,
CR,1982,187,07/06/1982,,V,extcoef: Light not monotonically decreasing
CR,1985,189,07/08/1985,.298,,
CR,1992,223,08/10/1992,.281,,
CR,1982,228,08/16/1982,,V,extcoef: No light data
CR,1988,230,08/17/1988,.283,,
CR,1985,234,08/22/1985,.245,,
CR,1991,241,08/29/1991,.265,,
CR,1992,252,09/08/1992,.279,,
CR,1987,265,09/22/1987,.251,,
CR,1983,292,10/19/1983,.234,,
CR,1983,319,11/15/1983,.227,,
CR,1983,333,11/29/1983,.205,,
CR,1982,337,12/03/1982,.236,,
SP,1984,6,01/06/1984,,V,extcoef: No light data
SP,1985,11,01/11/1985,.355,,
SP,1983,13,01/13/1983,,V,extcoef: No light data
SP,1986,14,01/14/1986,.507,,
SP,1987,14,01/14/1987,.342,,
SP,1992,14,01/14/1992,.388,,
SP,1991,16,01/16/1991,,V,extcoef: Insufficient light data
SP,1990,17,01/17/1990,,V,extcoef: Insufficient light data
SP,1988,19,01/19/1988,,V,extcoef: Light not monotonically decreasing
SP,1982,20,01/20/1982,,V,extcoef: No light data
SP,1990,50,02/19/1990,.373,,
SP,1991,50,02/19/1991,,V,extcoef: Insufficient light data
SP,1984,58,02/27/1984,,V,extcoef: No light data
SP,1985,58,02/27/1985,.272,,
SP,1988,60,02/29/1988,.282,,
SP,1992,61,03/01/1992,.316,,
SP,1991,84,03/25/1991,.3,,
SP,1985,85,03/26/1985,.233,,
SP,1983,87,03/28/1983,,V,extcoef: No light data
SP,1992,87,03/27/1992,.3,,
SP,1988,95,04/04/1988,.271,,
SP,1984,101,04/10/1984,,V,extcoef: No light data
SP,1988,116,04/25/1988,.462,,
SP,1991,127,05/07/1991,.409,,
SP,1988,130,05/09/1988,.318,,
SP,1982,132,05/12/1982,.42,,
SP,1986,139,05/19/1986,.438,,
SP,1987,140,05/20/1987,.295,,
SP,1984,142,05/21/1984,.407,,
SP,1983,145,05/25/1983,,V,extcoef: Light not monotonically decreasing
SP,1990,149,05/29/1990,,V,extcoef: Light not monotonically decreasing
SP,1984,156,06/04/1984,.4,,
SP,1983,160,06/09/1983,.429,,
SP,1982,161,06/10/1982,,V,extcoef: Light not monotonically decreasing
SP,1982,189,07/08/1982,,V,extcoef: No light data
SP,1982,201,07/20/1982,,V,extcoef: No light data
SP,1988,229,08/16/1988,.299,,
SP,1987,264,09/21/1987,.271,,
SP,1987,278,10/05/1987,.294,,
SP,1984,291,10/17/1984,.32,,
SP,1988,313,11/08/1988,.389,,
SP,1991,315,11/11/1991,.601,,
SP,1983,319,11/15/1983,.436,,
SP,1983,333,11/29/1983,.373,,
TB,1984,3,01/03/1984,,V,extcoef: No light data
TB,1983,10,01/10/1983,,V,extcoef: No light data
TB,1988,14,01/14/1988,,V,extcoef: No light data
TB,1987,15,01/15/1987,,V,extcoef: Insufficient light data
TB,1990,15,01/15/1990,,V,extcoef: Insufficient light data
TB,1992,15,01/15/1992,,V,extcoef: Insufficient light data
TB,1982,27,01/27/1982,,V,extcoef: No light data
TB,1991,51,02/20/1991,,V,extcoef: Insufficient light data
TB,1986,56,02/25/1986,,V,extcoef: Insufficient light data
TB,1992,57,02/26/1992,,V,extcoef: Insufficient light data
TB,1985,58,02/27/1985,,V,extcoef: Insufficient light data
TB,1984,59,02/28/1984,,V,extcoef: No light data
TB,1990,59,02/28/1990,,V,extcoef: No light data
TB,1988,61,03/01/1988,,V,extcoef: Insufficient light data
TB,1982,62,03/03/1982,,V,extcoef: No light data
TB,1989,65,03/06/1989,,V,extcoef: Insufficient light data
TB,1992,83,03/23/1992,,V,extcoef: Insufficient light data
TB,1990,86,03/27/1990,,V,extcoef: No light data
TB,1986,90,03/31/1986,2.373,J,extcoef: Calculated from 2 frlight values
TB,1988,112,04/21/1988,,V,extcoef: Insufficient light data
TB,1989,123,05/03/1989,2.219,J,extcoef: Calculated from 2 frlight values
TB,1992,125,05/04/1992,4.33,,
TB,1988,131,05/10/1988,,V,extcoef: Insufficient light data
TB,1983,144,05/24/1983,,V,extcoef: No light data
BM,1983,199,07/18/1983,.338,,
BM,1984,199,07/17/1984,.292,,
BM,1988,202,07/20/1988,.344,,
BM,1989,206,07/25/1989,.32,,
BM,1981,209,07/28/1981,.395,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1991,210,07/29/1991,.287,,
BM,1986,211,07/30/1986,,V,extcoef: Light not monotonically decreasing
BM,1992,212,07/30/1992,,V,extcoef: Insufficient light data
BM,1984,214,08/01/1984,,V,extcoef: Light not monotonically decreasing
BM,1988,217,08/04/1988,.314,,
BM,1990,218,08/06/1990,.319,,
BM,1985,220,08/08/1985,.345,,
BM,1989,222,08/10/1989,.322,,
BM,1981,223,08/11/1981,.409,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1987,223,08/11/1987,.325,,
BM,1986,224,08/12/1986,.337,,
BM,1984,226,08/13/1984,.339,,
BM,1982,230,08/18/1982,.29,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1985,233,08/21/1985,.32,,
BM,1989,234,08/22/1989,.256,,
BM,1987,236,08/24/1987,.332,,
BM,1986,237,08/25/1986,.329,,
BM,1981,238,08/26/1981,.315,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1992,238,08/25/1992,.262,,
BM,1988,243,08/30/1988,.32,,
BM,1984,248,09/04/1984,.386,,
BM,1983,250,09/07/1983,,V,extcoef: Light not monotonically decreasing
BM,1989,250,09/07/1989,,V,extcoef: Light not monotonically decreasing
BM,1982,251,09/08/1982,.26,,
BM,1987,252,09/09/1987,.319,,
BM,1986,253,09/10/1986,.274,,
BM,1992,253,09/09/1992,.272,,
BM,1985,254,09/11/1985,.345,,
BM,1988,256,09/12/1988,.295,,
BM,1981,257,09/14/1981,.345,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1989,263,09/20/1989,.328,,
BM,1990,263,09/20/1990,.306,,
BM,1981,266,09/23/1981,.347,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1991,267,09/24/1991,,V,extcoef: Light not monotonically decreasing
BM,1992,267,09/23/1992,.311,,
BM,1984,269,09/25/1984,.293,,
BM,1983,271,09/28/1983,.332,,
BM,1988,271,09/27/1988,.375,,
BM,1990,274,10/01/1990,.336,,
BM,1985,276,10/03/1985,,V,extcoef: Light not monotonically decreasing
BM,1989,276,10/03/1989,.27,,
BM,1982,279,10/06/1982,.266,,
BM,1986,280,10/07/1986,,V,extcoef: Light not monotonically decreasing
BM,1991,280,10/07/1991,,V,extcoef: Light not monotonically decreasing
BM,1992,281,10/07/1992,.3,,
BM,1988,287,10/13/1988,.381,,
BM,1989,290,10/17/1989,,V,extcoef: Light not monotonically decreasing
BM,1982,291,10/18/1982,.284,,
BM,1990,292,10/19/1990,.324,,
BM,1981,293,10/20/1981,,V,extcoef: Insufficient light data
BM,1992,293,10/19/1992,,V,extcoef: Light not monotonically decreasing
BM,1987,294,10/21/1987,.345,,
BM,1988,298,10/24/1988,.321,,
BM,1990,302,10/29/1990,.328,,
BM,1991,302,10/29/1991,.224,,
BM,1989,305,11/01/1989,.3,,
BM,1987,308,11/04/1987,.315,,
BM,1986,309,11/05/1986,.272,,
BM,1982,313,11/09/1982,.24,,
BM,1992,316,11/11/1992,.327,,
BM,1989,318,11/14/1989,.247,,
BM,1990,318,11/14/1990,.254,,
BM,1987,320,11/16/1987,.271,,
BM,1983,332,11/28/1983,.29,,
BM,1981,334,11/30/1981,.424,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
CB,1983,54,02/23/1983,,V,extcoef: No light data
CB,1987,54,02/23/1987,,V,extcoef: Insufficient light data
CB,1987,78,03/19/1987,2.427,,
CB,1991,81,03/22/1991,2.823,,
CB,1983,84,03/25/1983,,V,extcoef: No light data
CB,1982,97,04/07/1982,,V,extcoef: No light data
CB,1987,103,04/13/1987,1.922,J,extcoef: Calculated from 2 frlight values
CB,1988,112,04/21/1988,1.663,J,extcoef: Calculated from 2 frlight values
CB,1986,113,04/23/1986,2.282,J,extcoef: Calculated from 2 frlight values
CB,1987,120,04/30/1987,2.02,J,extcoef: Calculated from 2 frlight values
CB,1985,122,05/02/1985,1.891,J,extcoef: Calculated from 2 frlight values
CB,1990,122,05/02/1990,1.838,,
CB,1984,131,05/10/1984,1.828,J,extcoef: Calculated from 2 frlight values
CB,1983,132,05/12/1983,2.98,,
CB,1982,133,05/13/1982,4.2,J,extcoef: Calculated from 2 frlight values
CB,1985,134,05/14/1985,2.171,J,extcoef: Calculated from 2 frlight values
CB,1990,135,05/15/1990,1.962,,
CB,1989,136,05/16/1989,1.504,J,extcoef: Calculated from 2 frlight values
CB,1987,139,05/19/1987,1.979,J,extcoef: Calculated from 2 frlight values
CB,1991,141,05/21/1991,1.844,,
CB,1992,142,05/21/1992,2.022,,
CB,1988,144,05/23/1988,1.985,J,extcoef: Calculated from 2 frlight values
CB,1984,145,05/24/1984,,V,extcoef: No light data
CB,1983,146,05/26/1983,2.339,J,extcoef: Calculated from 2 frlight values
CB,1985,150,05/30/1985,2.226,J,extcoef: Calculated from 2 frlight values
CB,1986,153,06/02/1986,1.716,J,extcoef: Calculated from 2 frlight values
CB,1991,154,06/03/1991,2.175,,
CB,1984,157,06/05/1984,2.157,J,extcoef: Calculated from 2 frlight values
CB,1983,158,06/07/1983,,V,extcoef: Insufficient light data
CB,1982,161,06/10/1982,2.218,,
CB,1985,161,06/10/1985,1.894,J,extcoef: Calculated from 2 frlight values
CB,1990,162,06/11/1990,1.717,,
CB,1989,165,06/14/1989,.358,J,extcoef: Calculated from 2 frlight values
CB,1986,168,06/17/1986,1.711,J,extcoef: Calculated from 2 frlight values
CB,1991,168,06/17/1991,2.318,,
CB,1992,168,06/16/1992,2.592,,
CB,1983,174,06/23/1983,2.67,J,extcoef: Calculated from 2 frlight values
CB,1987,174,06/23/1987,1.564,J,extcoef: Calculated from 2 frlight values
CB,1988,174,06/22/1988,1.634,J,extcoef: Calculated from 2 frlight values
CB,1990,176,06/25/1990,2.417,,
CB,1989,177,06/26/1989,2.026,J,extcoef: Calculated from 2 frlight values
CB,1991,183,07/02/1991,1.945,,
CB,1984,186,07/04/1984,3.287,J,extcoef: Calculated from 2 frlight values
CB,1983,188,07/07/1983,2.61,J,extcoef: Calculated from 2 frlight values
CB,1992,190,07/08/1992,,V,extcoef: Light not monotonically decreasing
CB,1985,191,07/10/1985,,V,extcoef: Insufficient light data
CB,1990,192,07/11/1990,1.929,,
CB,1991,197,07/16/1991,2.177,,
CB,1992,197,07/15/1992,,V,extcoef: No light data
CB,1983,200,07/19/1983,2.269,J,extcoef: Calculated from 2 frlight values
CB,1982,203,07/22/1982,,V,extcoef: No light data
CB,1985,203,07/22/1985,1.698,J,extcoef: Calculated from 2 frlight values
CB,1990,206,07/25/1990,1.811,,
CB,1989,207,07/26/1989,3.418,J,extcoef: Calculated from 2 frlight values
CB,1992,209,07/27/1992,,V,extcoef: Light not monotonically decreasing
CB,1981,211,07/30/1981,,V,extcoef: Insufficient light data
CB,1991,212,07/31/1991,1.843,,
CB,1983,213,08/01/1983,,V,extcoef: Insufficient light data
CB,1982,216,08/04/1982,,V,extcoef: No light data
CB,1985,217,08/05/1985,1.266,J,extcoef: Calculated from 2 frlight values
CB,1990,218,08/06/1990,2.004,,
CB,1989,221,08/09/1989,,V,extcoef: Insufficient light data
CB,1981,222,08/10/1981,,V,extcoef: Insufficient light data
CB,1986,223,08/11/1986,1.415,J,extcoef: Calculated from 2 frlight values
CB,1991,224,08/12/1991,1.834,,
CB,1987,225,08/13/1987,1.398,J,extcoef: Calculated from 2 frlight values
CB,1992,226,08/13/1992,1.893,,
CB,1988,228,08/15/1988,1.48,J,extcoef: Calculated from 2 frlight values
CB,1984,229,08/16/1984,1.552,J,extcoef: Calculated from 2 frlight values
CB,1983,230,08/18/1983,1.989,J,extcoef: Calculated from 2 frlight values
CB,1982,231,08/19/1982,2.578,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
CB,1990,232,08/20/1990,2.004,,
CB,1987,237,08/25/1987,1.432,J,extcoef: Calculated from 2 frlight values
CB,1981,239,08/27/1981,2.1,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light. Calc from 2 light values.
CB,1992,239,08/26/1992,1.746,,
CB,1990,247,09/04/1990,1.646,,
CB,1982,250,09/07/1982,2.804,,
CB,1984,250,09/06/1984,1.522,J,extcoef: Calculated from 2 frlight values
CB,1985,252,09/09/1985,,V,extcoef: Insufficient light data
CB,1986,252,09/09/1986,1.496,J,extcoef: Calculated from 2 frlight values
CB,1981,253,09/10/1981,,V,extcoef: Insufficient light data
CB,1987,253,09/10/1987,1.548,J,extcoef: Calculated from 2 frlight values
CB,1992,255,09/11/1992,2.104,,
CB,1988,258,09/14/1988,1.552,J,extcoef: Calculated from 2 frlight values
CB,1990,260,09/17/1990,2.027,,
CB,1989,262,09/19/1989,1.574,,
CB,1982,265,09/22/1982,,V,extcoef: No light data
CB,1986,266,09/23/1986,1.442,J,extcoef: Calculated from 2 frlight values
CB,1987,266,09/23/1987,1.786,J,extcoef: Calculated from 2 frlight values
CB,1981,268,09/25/1981,,V,extcoef: Insufficient light data
CB,1984,268,09/24/1984,,V,extcoef: Insufficient light data
CB,1983,272,09/29/1983,1.609,J,extcoef: Calculated from 2 frlight values
CB,1989,275,10/02/1989,2.505,,
CB,1985,276,10/03/1985,1.528,J,extcoef: Calculated from 2 frlight values
CB,1990,276,10/03/1990,,V,extcoef: Insufficient light data
CB,1982,279,10/06/1982,2.356,,
CB,1987,280,10/07/1987,1.361,J,extcoef: Calculated from 2 frlight values
CB,1986,281,10/08/1986,,V,extcoef: Insufficient light data
CB,1991,281,10/08/1991,2.051,,
CB,1992,281,10/07/1992,2.428,,
CB,1988,284,10/10/1988,1.335,J,extcoef: Calculated from 2 frlight values
TR,1988,312,11/07/1988,.524,,
TR,1991,315,11/11/1991,.55,,
TR,1982,333,11/29/1982,.458,,
TR,1983,334,11/30/1983,,V,extcoef: No light data
AL,1982,54,02/23/1982,,V,extcoef: No light data
AL,1987,78,03/19/1987,.747,,
AL,1985,86,03/27/1985,.727,,
AL,1982,95,04/05/1982,,V,extcoef: No light data
AL,1987,105,04/15/1987,.827,,
AL,1981,113,04/23/1981,,V,extcoef: No light data
AL,1986,114,04/24/1986,.938,,
AL,1985,120,04/30/1985,1.049,,
AL,1990,120,04/30/1990,.75,,
AL,1989,121,05/01/1989,.821,,
AL,1987,124,05/04/1987,.644,,
AL,1986,128,05/08/1986,.655,,
AL,1983,130,05/10/1983,1.074,,
AL,1982,131,05/11/1982,1.011,,
AL,1985,136,05/16/1985,.703,,
AL,1989,136,05/16/1989,.726,,
AL,1990,137,05/17/1990,,V,extcoef: Light not monotonically decreasing
AL,1987,138,05/18/1987,.451,,
AL,1991,141,05/21/1991,.464,,
AL,1981,142,05/22/1981,,V,extcoef: No light data
AL,1984,144,05/23/1984,.801,,
AL,1988,146,05/25/1988,.584,,
AL,1985,148,05/28/1985,.838,,
AL,1989,149,05/29/1989,.472,,
AL,1986,153,06/02/1986,.687,,
AL,1981,154,06/03/1981,,V,extcoef: No light data
AL,1984,157,06/05/1984,.723,,
AL,1988,159,06/07/1988,.51,,
AL,1982,160,06/09/1982,.582,,
AL,1985,162,06/11/1985,.808,,
AL,1987,162,06/11/1987,.552,,
AL,1989,164,06/13/1989,.531,,
AL,1990,164,06/13/1990,.488,,
AL,1986,169,06/18/1986,.618,,
AL,1991,169,06/18/1991,.589,,
AL,1992,171,06/19/1992,.711,,
AL,1988,172,06/20/1988,.626,,
AL,1983,173,06/22/1983,.58,,
AL,1984,173,06/21/1984,.821,,
AL,1982,176,06/25/1982,.71,,
AL,1990,178,06/27/1990,.575,,
AL,1987,180,06/29/1987,.755,,
AL,1981,183,07/02/1981,.806,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1986,183,07/02/1986,.701,,
AL,1991,184,07/03/1991,.614,,
AL,1982,186,07/05/1982,.688,,
AL,1983,186,07/05/1983,,V,extcoef: Light not monotonically decreasing
AL,1988,186,07/04/1988,.681,,
AL,1992,189,07/07/1992,.762,,
AL,1990,190,07/09/1990,,V,extcoef: Light not monotonically decreasing
AL,1985,192,07/11/1985,.893,,
AL,1987,194,07/13/1987,.672,,
AL,1991,196,07/15/1991,.726,,
AL,1981,197,07/16/1981,.744,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1986,197,07/16/1986,.73,,
AL,1992,197,07/15/1992,,V,extcoef: No light data
AL,1984,200,07/18/1984,.823,,
AL,1988,201,07/19/1988,.677,,
AL,1982,202,07/21/1982,,V,extcoef: No light data
AL,1990,205,07/24/1990,.655,,
AL,1989,206,07/25/1989,.725,,
AL,1981,209,07/28/1981,.559,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1986,209,07/28/1986,.798,,
AL,1991,211,07/30/1991,.742,,
AL,1992,211,07/29/1992,.824,,
AL,1984,215,08/02/1984,.611,,
AL,1988,216,08/03/1988,.561,,
AL,1985,219,08/07/1985,.841,,
AL,1990,220,08/08/1990,.742,,
AL,1981,224,08/12/1981,.814,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1986,225,08/13/1986,.753,,
AL,1987,225,08/13/1987,.853,,
AL,1991,225,08/13/1991,.72,,
AL,1992,225,08/12/1992,.726,,
AL,1983,227,08/15/1983,.777,,
AL,1984,227,08/14/1984,.714,,
